"","age","gender","status","salary","bank"
"103",36,"Female","Single",3275,"bandit-donsaluste"
"104",32,"Male","Married",2798,"bandit-picsou"
"105",27,"Female","Single",2550,"bandit-radinou"
"106",34,"Female","Married",3968,"bandit-picsou"
"107",58,"Female","Married",4738,"bandit-radinou"
"108",59,"Female","Divorced",4813,"bandit-donsaluste"
"109",47,"Female","Married",4257,"bandit-picsou"
"110",75,"Male","Divorced",4988,"bandit-picsou"
"111",33,"Male","Single",3684,"bandit-donsaluste"
"112",78,"Female","Married",4690,"bandit-profit"
"113",76,"Male","Married",4929,"bandit-radinou"
"114",35,"Female","Single",3601,"bandit-profit"
"115",76,"Female","Widowed",4794,"bandit-profit"
"116",53,"Female","Single",3712,"bandit-donsaluste"
"117",43,"Female","Married",4631,"bandit-picsou"
"118",18,"Male","Single",2163,"bandit-radinou"
"119",70,"Male","Married",4426,"bandit-donsaluste"
"120",28,"Male","Single",2642,"bandit-radinou"
"121",89,"Female","Widowed",5489,"bandit-profit"
"122",72,"Female","Married",5233,"bandit-profit"
"123",59,"Female","Married",4363,"bandit-profit"
"124",37,"Female","Single",4008,"bandit-radinou"
"125",55,"Male","Married",4162,"bandit-profit"
"126",53,"Male","Widowed",4431,"bandit-donsaluste"
"127",22,"Male","Single",3677,"bandit-radinou"
"128",49,"Female","Married",4212,"bandit-picsou"
"129",73,"Male","Married",4799,"bandit-radinou"
"130",90,"Female","Married",4942,"bandit-profit"
"131",18,"Female","Single",2154,"bandit-profit"
"132",65,"Male","Married",4997,"bandit-donsaluste"
"133",58,"Female","Married",4616,"bandit-picsou"
"134",69,"Male","Married",5140,"bandit-donsaluste"
"135",21,"Female","Single",3403,"bandit-radinou"
"136",82,"Male","Married",5012,"bandit-donsaluste"
"137",50,"Female","Married",4286,"bandit-profit"
"138",51,"Female","Single",4716,"bandit-picsou"
"139",42,"Male","Married",4292,"bandit-donsaluste"
"140",46,"Male","Single",4289,"bandit-donsaluste"
"141",72,"Male","Married",5800,"bandit-profit"
"142",39,"Male","Single",3997,"bandit-radinou"
"143",31,"Female","Single",3539,"bandit-radinou"
"144",51,"Female","Married",3973,"bandit-donsaluste"
"145",18,"Male","Single",2993,"bandit-picsou"
"146",62,"Male","Married",5357,"bandit-radinou"
"147",33,"Female","Single",3770,"bandit-picsou"
"148",77,"Male","Married",5620,"bandit-donsaluste"
"149",31,"Female","Single",3961,"bandit-radinou"
"150",59,"Female","Married",4467,"bandit-profit"
"151",27,"Female","Single",2927,"bandit-picsou"
"152",20,"Male","Single",1967,"bandit-radinou"
"153",40,"Female","Single",4014,"bandit-donsaluste"
"154",58,"Female","Divorced",3654,"bandit-donsaluste"
"155",74,"Male","Single",5609,"bandit-radinou"
"156",36,"Male","Married",3664,"bandit-picsou"
"157",26,"Male","Single",3856,"bandit-donsaluste"
"158",26,"Female","Single",2612,"bandit-radinou"
"159",63,"Male","Married",4483,"bandit-donsaluste"
"160",81,"Male","Married",4736,"bandit-profit"
"161",53,"Female","Married",4105,"bandit-donsaluste"
"162",53,"Male","Married",3784,"bandit-picsou"
"163",51,"Female","Married",4218,"bandit-donsaluste"
"164",63,"Female","Married",4748,"bandit-donsaluste"
"165",49,"Male","Married",4561,"bandit-donsaluste"
"166",75,"Female","Married",4969,"bandit-donsaluste"
"167",35,"Female","Single",3529,"bandit-picsou"
"168",27,"Male","Single",2346,"bandit-picsou"
"169",53,"Female","Single",4438,"bandit-donsaluste"
"170",42,"Female","Married",4466,"bandit-donsaluste"
"171",63,"Female","Married",5446,"bandit-donsaluste"
"172",37,"Male","Married",3882,"bandit-picsou"
"173",19,"Female","Single",2453,"bandit-picsou"
"174",28,"Male","Single",3121,"bandit-picsou"
"175",64,"Male","Married",5158,"bandit-profit"
"176",30,"Male","Single",3729,"bandit-donsaluste"
"177",37,"Male","Single",3351,"bandit-radinou"
"178",32,"Female","Single",3297,"bandit-picsou"
"179",22,"Male","Single",2547,"bandit-profit"
"180",42,"Male","Single",3714,"bandit-donsaluste"
"181",59,"Male","Married",4650,"bandit-profit"
"182",47,"Male","Single",4256,"bandit-donsaluste"
"183",78,"Male","Married",5031,"bandit-picsou"
"184",68,"Female","Divorced",4900,"bandit-profit"
"185",46,"Female","Single",3454,"bandit-donsaluste"
"186",47,"Female","Married",4378,"bandit-picsou"
"187",61,"Male","Widowed",4635,"bandit-radinou"
"188",32,"Male","Single",3360,"bandit-profit"
"189",51,"Female","Married",5025,"bandit-profit"
"190",66,"Male","Married",5281,"bandit-donsaluste"
"191",61,"Male","Married",5411,"bandit-profit"
"192",36,"Male","Single",3835,"bandit-profit"
"193",25,"Female","Single",2723,"bandit-profit"
"194",69,"Male","Divorced",4413,"bandit-profit"
"195",79,"Female","Divorced",5111,"bandit-picsou"
"196",59,"Female","Married",4697,"bandit-profit"
"197",59,"Male","Married",4097,"bandit-donsaluste"
"198",23,"Male","Single",2199,"bandit-radinou"
"199",80,"Female","Married",4985,"bandit-profit"
"200",69,"Female","Married",5198,"bandit-profit"
"201",39,"Female","Married",3217,"bandit-picsou"
"202",72,"Female","Single",5601,"bandit-profit"
"203",27,"Male","Single",2517,"bandit-radinou"
"204",26,"Female","Single",3029,"bandit-picsou"
"205",51,"Female","Single",4486,"bandit-profit"
"206",59,"Male","Single",4204,"bandit-profit"
"207",60,"Female","Married",5417,"bandit-picsou"
"208",88,"Male","Widowed",5341,"bandit-profit"
"209",51,"Female","Divorced",3837,"bandit-profit"
"210",34,"Male","Single",2941,"bandit-picsou"
"211",78,"Female","Single",4904,"bandit-donsaluste"
"212",36,"Female","Single",3598,"bandit-profit"
"213",52,"Male","Married",4530,"bandit-profit"
"214",69,"Male","Married",4641,"bandit-picsou"
"215",24,"Female","Single",2234,"bandit-radinou"
"216",44,"Male","Single",4129,"bandit-donsaluste"
"217",28,"Female","Single",3325,"bandit-donsaluste"
"218",52,"Female","Single",3569,"bandit-profit"
"219",18,"Female","Single",2169,"bandit-radinou"
"220",49,"Female","Married",4850,"bandit-profit"
"221",44,"Female","Divorced",3599,"bandit-radinou"
"222",50,"Female","Married",3492,"bandit-profit"
"223",80,"Male","Widowed",5092,"bandit-donsaluste"
"224",32,"Female","Single",3046,"bandit-profit"
"225",85,"Female","Married",4763,"bandit-profit"
"226",73,"Male","Married",4657,"bandit-profit"
"227",19,"Female","Single",2321,"bandit-radinou"
"228",53,"Female","Single",3749,"bandit-donsaluste"
"229",24,"Male","Single",2381,"bandit-radinou"
"230",50,"Male","Single",4207,"bandit-profit"
"231",25,"Female","Single",3913,"bandit-picsou"
"232",27,"Male","Married",2695,"bandit-donsaluste"
"233",58,"Female","Divorced",4610,"bandit-profit"
"234",59,"Female","Divorced",4726,"bandit-profit"
"235",19,"Female","Single",1969,"bandit-profit"
"236",52,"Female","Single",4666,"bandit-profit"
"237",20,"Female","Single",2064,"bandit-profit"
"238",52,"Female","Divorced",4280,"bandit-picsou"
"239",39,"Male","Married",3774,"bandit-donsaluste"
"240",49,"Male","Married",3666,"bandit-profit"
"241",52,"Male","Married",4140,"bandit-donsaluste"
"242",23,"Female","Single",2567,"bandit-radinou"
"243",70,"Female","Divorced",5687,"bandit-donsaluste"
"244",69,"Female","Married",4193,"bandit-profit"
"245",48,"Female","Divorced",3886,"bandit-profit"
"246",19,"Female","Single",2167,"bandit-radinou"
"247",65,"Male","Married",4876,"bandit-picsou"
"248",25,"Female","Single",3702,"bandit-picsou"
"249",39,"Female","Single",3853,"bandit-picsou"
"250",62,"Male","Married",5080,"bandit-donsaluste"
"251",63,"Female","Married",4970,"bandit-profit"
"252",33,"Female","Single",3062,"bandit-picsou"
"253",61,"Female","Divorced",4970,"bandit-radinou"
"254",52,"Male","Married",4014,"bandit-profit"
"255",41,"Female","Married",4363,"bandit-picsou"
"256",25,"Male","Single",3111,"bandit-radinou"
"257",32,"Female","Single",4302,"bandit-donsaluste"
"258",38,"Male","Single",4463,"bandit-profit"
"259",25,"Male","Single",3007,"bandit-radinou"
"260",46,"Female","Divorced",4298,"bandit-radinou"
"261",69,"Female","Divorced",5474,"bandit-profit"
"262",52,"Male","Married",3976,"bandit-donsaluste"
"263",57,"Male","Married",4526,"bandit-profit"
"264",53,"Female","Divorced",4311,"bandit-profit"
"265",59,"Female","Single",4474,"bandit-donsaluste"
"266",48,"Female","Married",4189,"bandit-profit"
"267",85,"Female","Married",5137,"bandit-picsou"
"268",49,"Male","Divorced",3973,"bandit-picsou"
"269",77,"Female","Widowed",5135,"bandit-radinou"
"270",68,"Female","Married",5549,"bandit-profit"
"271",78,"Male","Divorced",4729,"bandit-profit"
"272",26,"Male","Single",2677,"bandit-radinou"
"273",66,"Female","Divorced",5190,"bandit-profit"
"274",22,"Male","Single",2425,"bandit-radinou"
"275",27,"Female","Single",2739,"bandit-picsou"
"276",65,"Male","Married",4494,"bandit-donsaluste"
"277",38,"Male","Single",3974,"bandit-picsou"
"278",63,"Male","Married",4809,"bandit-donsaluste"
"279",43,"Male","Single",4291,"bandit-radinou"
"280",18,"Male","Single",2178,"bandit-donsaluste"
"281",44,"Male","Single",3589,"bandit-profit"
"282",57,"Male","Married",4877,"bandit-donsaluste"
"283",65,"Female","Married",5013,"bandit-donsaluste"
"284",54,"Female","Married",4224,"bandit-profit"
"285",41,"Female","Single",4142,"bandit-donsaluste"
"286",58,"Male","Divorced",4733,"bandit-profit"
"287",55,"Female","Single",4470,"bandit-donsaluste"
"288",90,"Female","Widowed",4629,"bandit-profit"
"289",72,"Male","Married",4666,"bandit-profit"
"290",31,"Female","Single",3819,"bandit-picsou"
"291",42,"Female","Married",5123,"bandit-donsaluste"
"292",54,"Female","Married",4278,"bandit-donsaluste"
"293",49,"Male","Married",4226,"bandit-donsaluste"
"294",73,"Female","Divorced",4968,"bandit-profit"
"295",74,"Female","Married",4684,"bandit-donsaluste"
"296",88,"Female","Widowed",4804,"bandit-picsou"
"297",72,"Female","Married",5367,"bandit-profit"
"298",29,"Female","Single",2827,"bandit-donsaluste"
"299",19,"Male","Single",2572,"bandit-radinou"
"300",59,"Female","Married",4402,"bandit-profit"
"301",80,"Male","Widowed",4528,"bandit-profit"
"302",33,"Male","Single",3863,"bandit-picsou"
"303",78,"Male","Married",5527,"bandit-profit"
"304",60,"Male","Divorced",5488,"bandit-donsaluste"
"305",51,"Male","Married",4541,"bandit-donsaluste"
"306",53,"Male","Single",4824,"bandit-donsaluste"
"307",31,"Female","Single",3526,"bandit-picsou"
"308",48,"Female","Divorced",3888,"bandit-donsaluste"
"309",58,"Female","Single",4595,"bandit-donsaluste"
"310",38,"Male","Single",3202,"bandit-donsaluste"
"311",75,"Male","Widowed",4219,"bandit-radinou"
"312",54,"Male","Married",5128,"bandit-profit"
"313",45,"Male","Married",4425,"bandit-radinou"
"314",40,"Male","Single",3960,"bandit-picsou"
"315",35,"Male","Single",4030,"bandit-radinou"
"316",25,"Female","Married",3077,"bandit-picsou"
"317",25,"Female","Single",3042,"bandit-radinou"
"318",60,"Female","Married",5293,"bandit-profit"
"319",34,"Male","Single",3947,"bandit-picsou"
"320",54,"Female","Single",4584,"bandit-donsaluste"
"321",68,"Female","Married",4635,"bandit-picsou"
"322",64,"Female","Divorced",5539,"bandit-donsaluste"
"323",55,"Male","Single",5117,"bandit-profit"
"324",47,"Male","Married",4571,"bandit-picsou"
"325",24,"Male","Single",2926,"bandit-radinou"
"326",42,"Male","Single",4006,"bandit-picsou"
"327",60,"Female","Married",5555,"bandit-profit"
"328",65,"Female","Married",5417,"bandit-donsaluste"
"329",55,"Female","Single",3952,"bandit-profit"
"330",18,"Female","Single",2224,"bandit-radinou"
"331",29,"Female","Married",3109,"bandit-picsou"
"332",31,"Female","Single",3529,"bandit-picsou"
"333",34,"Male","Single",3182,"bandit-picsou"
"334",89,"Male","Married",5403,"bandit-profit"
"335",21,"Female","Single",2364,"bandit-profit"
"336",51,"Male","Married",4623,"bandit-profit"
"337",41,"Female","Single",3478,"bandit-picsou"
"338",82,"Female","Widowed",5773,"bandit-profit"
"339",57,"Male","Single",4760,"bandit-picsou"
"340",19,"Male","Single",2028,"bandit-picsou"
"341",57,"Male","Married",5012,"bandit-profit"
"342",36,"Female","Divorced",3405,"bandit-radinou"
"343",32,"Female","Married",3087,"bandit-picsou"
"344",23,"Male","Single",1741,"bandit-donsaluste"
"345",30,"Female","Single",3956,"bandit-radinou"
"346",44,"Male","Divorced",4495,"bandit-profit"
"347",78,"Male","Married",5245,"bandit-profit"
"348",59,"Male","Married",4425,"bandit-profit"
"349",69,"Female","Married",4528,"bandit-profit"
"350",27,"Female","Single",2787,"bandit-picsou"
"351",24,"Female","Single",2098,"bandit-picsou"
"352",51,"Male","Divorced",4527,"bandit-donsaluste"
"353",62,"Male","Married",5325,"bandit-profit"
"354",18,"Female","Single",2639,"bandit-radinou"
"355",71,"Female","Married",5426,"bandit-donsaluste"
"356",46,"Female","Married",3870,"bandit-donsaluste"
"357",65,"Male","Married",5121,"bandit-profit"
"358",49,"Male","Single",4249,"bandit-donsaluste"
"359",48,"Male","Single",3678,"bandit-picsou"
"360",48,"Male","Single",4070,"bandit-donsaluste"
"361",41,"Male","Single",4085,"bandit-picsou"
"362",35,"Female","Married",4177,"bandit-picsou"
"363",75,"Male","Married",4535,"bandit-profit"
"364",62,"Female","Married",4967,"bandit-radinou"
"365",24,"Female","Single",3036,"bandit-radinou"
"366",52,"Female","Married",4506,"bandit-profit"
"367",29,"Female","Married",3532,"bandit-donsaluste"
"368",59,"Male","Divorced",4792,"bandit-profit"
"369",35,"Female","Married",3371,"bandit-donsaluste"
"370",33,"Male","Divorced",2302,"bandit-picsou"
"371",59,"Male","Married",4523,"bandit-donsaluste"
"372",53,"Female","Married",4905,"bandit-donsaluste"
"373",64,"Male","Single",4689,"bandit-profit"
"374",66,"Male","Married",4962,"bandit-radinou"
"375",81,"Female","Divorced",5308,"bandit-donsaluste"
"376",30,"Male","Married",2615,"bandit-profit"
"377",82,"Female","Married",4165,"bandit-picsou"
"378",52,"Female","Married",4516,"bandit-picsou"
"379",58,"Female","Married",4846,"bandit-donsaluste"
"380",77,"Male","Married",5270,"bandit-picsou"
"381",42,"Male","Single",3387,"bandit-picsou"
"382",21,"Female","Single",1663,"bandit-radinou"
"383",66,"Male","Single",5656,"bandit-picsou"
"384",41,"Male","Single",3780,"bandit-radinou"
"385",83,"Female","Widowed",4488,"bandit-profit"
"386",46,"Female","Single",3873,"bandit-picsou"
"387",59,"Female","Married",4815,"bandit-profit"
"388",57,"Female","Married",4622,"bandit-picsou"
"389",25,"Male","Single",2660,"bandit-radinou"
"390",41,"Female","Single",4052,"bandit-picsou"
"391",80,"Female","Widowed",5308,"bandit-profit"
"392",28,"Male","Married",2207,"bandit-picsou"
"393",22,"Female","Single",2724,"bandit-radinou"
"394",80,"Male","Married",4860,"bandit-profit"
"395",68,"Female","Divorced",4269,"bandit-profit"
"396",45,"Male","Married",4568,"bandit-donsaluste"
"397",66,"Male","Divorced",5022,"bandit-profit"
"398",64,"Male","Widowed",4838,"bandit-picsou"
"399",60,"Male","Married",4704,"bandit-donsaluste"
"400",25,"Male","Single",2822,"bandit-donsaluste"
"401",34,"Male","Single",3578,"bandit-radinou"
"402",76,"Male","Married",5332,"bandit-profit"
"403",43,"Male","Married",4044,"bandit-picsou"
"404",30,"Female","Single",3084,"bandit-radinou"
"405",50,"Male","Married",4536,"bandit-donsaluste"
"406",31,"Female","Married",3826,"bandit-picsou"
"407",30,"Female","Single",3545,"bandit-picsou"
"408",60,"Male","Single",5116,"bandit-profit"
"409",54,"Male","Married",4181,"bandit-picsou"
"410",41,"Male","Married",3646,"bandit-picsou"
"411",36,"Male","Single",4029,"bandit-profit"
"412",45,"Female","Divorced",4235,"bandit-donsaluste"
"413",18,"Female","Single",2343,"bandit-radinou"
"414",55,"Female","Married",4171,"bandit-profit"
"415",21,"Male","Single",3243,"bandit-picsou"
"416",64,"Female","Married",4900,"bandit-profit"
"417",26,"Female","Single",3566,"bandit-radinou"
"418",59,"Female","Divorced",5298,"bandit-profit"
"419",45,"Male","Divorced",4152,"bandit-profit"
"420",44,"Male","Single",4202,"bandit-donsaluste"
"421",90,"Female","Widowed",5514,"bandit-donsaluste"
"422",38,"Male","Single",3587,"bandit-donsaluste"
"423",53,"Male","Married",3423,"bandit-profit"
"424",61,"Male","Married",5289,"bandit-profit"
"425",18,"Male","Single",2164,"bandit-radinou"
"426",38,"Male","Married",4276,"bandit-picsou"
"427",57,"Female","Married",4481,"bandit-profit"
"428",69,"Male","Married",4774,"bandit-profit"
"429",40,"Male","Single",3741,"bandit-donsaluste"
"430",53,"Male","Divorced",4547,"bandit-donsaluste"
"431",19,"Female","Single",1704,"bandit-radinou"
"432",33,"Male","Single",3356,"bandit-profit"
"433",24,"Female","Single",2825,"bandit-donsaluste"
"434",82,"Female","Married",5428,"bandit-donsaluste"
"435",33,"Female","Single",3646,"bandit-radinou"
"436",72,"Female","Married",4993,"bandit-profit"
"437",22,"Female","Single",2377,"bandit-picsou"
"438",49,"Female","Divorced",3929,"bandit-donsaluste"
"439",37,"Female","Single",3164,"bandit-picsou"
"440",28,"Female","Single",2978,"bandit-radinou"
"441",46,"Female","Married",3938,"bandit-donsaluste"
"442",77,"Male","Married",5112,"bandit-profit"
"443",57,"Male","Married",4920,"bandit-profit"
"444",57,"Female","Single",4600,"bandit-donsaluste"
"445",59,"Female","Married",4432,"bandit-profit"
"446",63,"Female","Divorced",5512,"bandit-profit"
"447",42,"Male","Married",4009,"bandit-donsaluste"
"448",18,"Male","Single",2636,"bandit-radinou"
"449",59,"Male","Married",4612,"bandit-profit"
"450",61,"Female","Married",4823,"bandit-profit"
"451",78,"Female","Widowed",5209,"bandit-picsou"
"452",81,"Female","Widowed",5556,"bandit-donsaluste"
"453",20,"Male","Single",2998,"bandit-donsaluste"
"454",54,"Male","Married",4739,"bandit-profit"
"455",23,"Male","Single",3492,"bandit-picsou"
"456",46,"Female","Married",4950,"bandit-donsaluste"
"457",84,"Male","Married",5193,"bandit-profit"
"458",63,"Male","Married",4609,"bandit-picsou"
"459",60,"Male","Widowed",4951,"bandit-donsaluste"
"460",87,"Female","Married",4202,"bandit-profit"
"461",53,"Male","Married",4120,"bandit-profit"
"462",87,"Male","Widowed",5414,"bandit-profit"
"463",62,"Female","Married",4653,"bandit-profit"
"464",86,"Female","Married",4489,"bandit-profit"
"465",60,"Female","Divorced",5012,"bandit-donsaluste"
"466",57,"Male","Divorced",5115,"bandit-donsaluste"
"467",32,"Female","Single",3328,"bandit-radinou"
"468",33,"Male","Single",3529,"bandit-picsou"
"469",18,"Male","Single",1507,"bandit-radinou"
"470",85,"Female","Widowed",5322,"bandit-picsou"
"471",41,"Male","Single",4506,"bandit-picsou"
"472",93,"Female","Widowed",4529,"bandit-profit"
"473",44,"Female","Married",5101,"bandit-donsaluste"
"474",40,"Female","Married",4110,"bandit-picsou"
"475",68,"Female","Single",5006,"bandit-donsaluste"
"476",25,"Male","Single",3720,"bandit-picsou"
"477",69,"Male","Married",5278,"bandit-donsaluste"
"478",62,"Female","Married",5298,"bandit-picsou"
"479",31,"Male","Single",3455,"bandit-donsaluste"
"480",42,"Female","Married",4038,"bandit-picsou"
"481",29,"Female","Married",3174,"bandit-picsou"
"482",70,"Female","Divorced",5402,"bandit-profit"
"483",91,"Male","Widowed",5642,"bandit-picsou"
"484",43,"Female","Single",5036,"bandit-donsaluste"
"485",28,"Female","Single",3290,"bandit-donsaluste"
"486",52,"Female","Married",4602,"bandit-picsou"
"487",27,"Male","Single",3178,"bandit-donsaluste"
"488",19,"Female","Single",2625,"bandit-picsou"
"489",69,"Female","Divorced",4736,"bandit-donsaluste"
"490",49,"Female","Divorced",4384,"bandit-donsaluste"
"491",73,"Male","Married",3900,"bandit-profit"
"492",28,"Male","Single",2880,"bandit-picsou"
"493",35,"Female","Single",4726,"bandit-picsou"
"494",38,"Male","Single",3701,"bandit-picsou"
"495",72,"Male","Married",5583,"bandit-donsaluste"
"496",53,"Female","Married",4341,"bandit-donsaluste"
"497",66,"Male","Married",4930,"bandit-profit"
"498",63,"Female","Married",4844,"bandit-profit"
"499",68,"Male","Married",5210,"bandit-donsaluste"
"500",65,"Male","Divorced",4778,"bandit-picsou"
"501",18,"Female","Single",2702,"bandit-radinou"
"502",22,"Male","Single",2543,"bandit-picsou"
"503",56,"Male","Married",4522,"bandit-profit"
"504",69,"Female","Married",5189,"bandit-profit"
"505",37,"Male","Single",3238,"bandit-picsou"
"506",27,"Male","Single",2578,"bandit-donsaluste"
"507",64,"Male","Married",4506,"bandit-profit"
"508",71,"Female","Divorced",4481,"bandit-donsaluste"
"509",53,"Male","Single",4170,"bandit-donsaluste"
"510",43,"Male","Married",4250,"bandit-picsou"
"511",69,"Male","Married",4277,"bandit-profit"
"512",62,"Male","Married",4963,"bandit-profit"
"513",58,"Male","Married",4396,"bandit-radinou"
"514",47,"Male","Widowed",4443,"bandit-donsaluste"
"515",40,"Female","Single",3795,"bandit-donsaluste"
"516",43,"Female","Single",3713,"bandit-picsou"
"517",39,"Male","Married",3364,"bandit-picsou"
"518",56,"Male","Divorced",4153,"bandit-profit"
"519",25,"Female","Married",3049,"bandit-donsaluste"
"520",41,"Female","Married",4499,"bandit-picsou"
"521",36,"Male","Single",3716,"bandit-profit"
"522",66,"Male","Widowed",5655,"bandit-profit"
"523",49,"Female","Married",3950,"bandit-profit"
"524",47,"Female","Single",4167,"bandit-radinou"
"525",66,"Female","Divorced",4859,"bandit-donsaluste"
"526",70,"Male","Married",5204,"bandit-donsaluste"
"527",75,"Female","Married",5672,"bandit-profit"
"528",38,"Female","Married",3560,"bandit-picsou"
"529",65,"Female","Married",5610,"bandit-picsou"
"530",64,"Female","Married",5374,"bandit-picsou"
"531",48,"Male","Single",4805,"bandit-picsou"
"532",45,"Female","Single",4764,"bandit-donsaluste"
"533",48,"Male","Married",4550,"bandit-donsaluste"
"534",39,"Male","Single",3760,"bandit-radinou"
"535",78,"Male","Married",5218,"bandit-radinou"
"536",42,"Male","Married",4291,"bandit-radinou"
"537",22,"Female","Single",2936,"bandit-radinou"
"538",35,"Male","Single",3383,"bandit-radinou"
"539",44,"Female","Married",3984,"bandit-profit"
"540",37,"Male","Single",3634,"bandit-picsou"
"541",54,"Female","Married",4406,"bandit-donsaluste"
"542",49,"Female","Married",4297,"bandit-profit"
"543",43,"Male","Single",4112,"bandit-donsaluste"
"544",61,"Female","Married",5121,"bandit-donsaluste"
"545",39,"Female","Married",4504,"bandit-picsou"
