"","age","gender","status","salary","bank","activity","amount"
"54",46,"Male","Single",4662,"bandit-donsaluste","Dachshunds",387
"55",32,"Female","Single",3463,"bandit-radinou","Dachshunds",542
"56",59,"Female","Widowed",3715,"bandit-radinou","Dachshunds",387
"57",40,"Male","Single",3855,"bandit-donsaluste","Dachshunds",435
"58",58,"Female","Married",4197,"bandit-profit","Trading Cards",58
"59",50,"Male","Single",4097,"bandit-donsaluste","Trading Cards",39
"60",65,"Male","Married",4635,"bandit-donsaluste","Trading Cards",59
"61",39,"Female","Married",4101,"bandit-donsaluste","Trading Cards",61
"62",55,"Male","Married",4498,"bandit-donsaluste","Dachshunds",315
"63",37,"Female","Single",4070,"bandit-donsaluste","Dachshunds",400
"64",81,"Female","Widowed",5131,"bandit-donsaluste","Brass Animals",108
"65",74,"Female","Married",4689,"bandit-picsou","Trading Cards",61
"66",23,"Female","Single",3040,"bandit-radinou","Dachshunds",396
"67",76,"Female","Married",4948,"bandit-profit","Dachshunds",473
"68",75,"Female","Single",5868,"bandit-profit","Trading Cards",48
"69",24,"Male","Single",2427,"bandit-picsou","Dachshunds",327
"70",26,"Female","Single",2888,"bandit-picsou","Trading Cards",43
"71",75,"Female","Married",4234,"bandit-donsaluste","Dachshunds",555
"72",41,"Male","Married",4098,"bandit-donsaluste","Dachshunds",364
"73",33,"Male","Single",3519,"bandit-radinou","Trading Cards",43
"74",48,"Female","Married",3991,"bandit-profit","Dachshunds",339
"75",75,"Male","Widowed",5177,"bandit-donsaluste","Dachshunds",343
"76",20,"Male","Single",2251,"bandit-radinou","Trading Cards",60
"77",58,"Female","Married",4591,"bandit-profit","Dachshunds",338
"78",73,"Male","Married",5456,"bandit-profit","Dachshunds",473
"79",23,"Male","Single",2695,"bandit-donsaluste","Trading Cards",34
"80",33,"Male","Married",3596,"bandit-profit","Trading Cards",51
"81",62,"Male","Married",5104,"bandit-donsaluste","Brass Animals",53
"82",49,"Male","Married",4492,"bandit-picsou","Dachshunds",454
"83",43,"Male","Single",4374,"bandit-picsou","Trading Cards",42
"84",57,"Male","Married",4526,"bandit-profit","Dachshunds",453
"85",45,"Female","Single",3926,"bandit-donsaluste","Dachshunds",391
"86",46,"Male","Married",3254,"bandit-donsaluste","Trading Cards",37
"87",61,"Male","Widowed",5345,"bandit-donsaluste","Brass Animals",100
"88",74,"Male","Married",3968,"bandit-profit","Brass Animals",106
"89",27,"Female","Married",3280,"bandit-picsou","Dachshunds",321
"90",77,"Male","Widowed",4349,"bandit-profit","Brass Animals",75
"91",86,"Male","Single",4993,"bandit-donsaluste","Dachshunds",426
"92",29,"Male","Single",3469,"bandit-picsou","Dachshunds",458
"93",56,"Female","Married",4609,"bandit-donsaluste","Brass Animals",82
"94",55,"Female","Married",4654,"bandit-picsou","Dachshunds",373
"95",50,"Male","Married",3954,"bandit-donsaluste","Brass Animals",95
"96",52,"Female","Married",4454,"bandit-profit","Trading Cards",40
"97",20,"Female","Single",1877,"bandit-radinou","Brass Animals",129
"98",57,"Male","Married",4713,"bandit-profit","Trading Cards",25
"99",51,"Female","Divorced",4261,"bandit-profit","Trading Cards",59
"100",68,"Female","Married",4919,"bandit-profit","Trading Cards",33
"101",23,"Female","Single",2554,"bandit-radinou","Trading Cards",56
"102",46,"Male","Married",3865,"bandit-donsaluste","Dachshunds",496
"103",36,"Female","Single",3275,"bandit-donsaluste","Brass Animals",94
"104",32,"Male","Married",2798,"bandit-picsou","Dachshunds",411
"105",27,"Female","Single",2550,"bandit-radinou","Trading Cards",60
"106",34,"Female","Married",3968,"bandit-picsou","Trading Cards",30
"107",58,"Female","Married",4738,"bandit-radinou","Brass Animals",96
"108",59,"Female","Divorced",4813,"bandit-donsaluste","Dachshunds",308
"109",47,"Female","Married",4257,"bandit-picsou","Dachshunds",465
"110",75,"Male","Divorced",4988,"bandit-picsou","Dachshunds",495
"111",33,"Male","Single",3684,"bandit-donsaluste","Trading Cards",49
"112",78,"Female","Married",4690,"bandit-profit","Dachshunds",383
"113",76,"Male","Married",4929,"bandit-radinou","Trading Cards",54
"114",35,"Female","Single",3601,"bandit-profit","Trading Cards",67
"115",76,"Female","Widowed",4794,"bandit-profit","Dachshunds",478
"116",53,"Female","Single",3712,"bandit-donsaluste","Trading Cards",61
"117",43,"Female","Married",4631,"bandit-picsou","Trading Cards",59
"118",18,"Male","Single",2163,"bandit-radinou","Trading Cards",52
"119",70,"Male","Married",4426,"bandit-donsaluste","Trading Cards",61
"120",28,"Male","Single",2642,"bandit-radinou","Trading Cards",34
"121",89,"Female","Widowed",5489,"bandit-profit","Dachshunds",430
"122",72,"Female","Married",5233,"bandit-profit","Dachshunds",461
"123",59,"Female","Married",4363,"bandit-profit","Dachshunds",372
"124",37,"Female","Single",4008,"bandit-radinou","Dachshunds",472
"125",55,"Male","Married",4162,"bandit-profit","Trading Cards",55
"126",53,"Male","Widowed",4431,"bandit-donsaluste","Brass Animals",94
"127",22,"Male","Single",3677,"bandit-radinou","Trading Cards",49
"128",49,"Female","Married",4212,"bandit-picsou","Trading Cards",41
"129",73,"Male","Married",4799,"bandit-radinou","Dachshunds",355
"130",90,"Female","Married",4942,"bandit-profit","Dachshunds",256
"131",18,"Female","Single",2154,"bandit-profit","Dachshunds",464
"132",65,"Male","Married",4997,"bandit-donsaluste","Dachshunds",369
"133",58,"Female","Married",4616,"bandit-picsou","Brass Animals",97
"134",69,"Male","Married",5140,"bandit-donsaluste","Dachshunds",553
"135",21,"Female","Single",3403,"bandit-radinou","Trading Cards",33
"136",82,"Male","Married",5012,"bandit-donsaluste","Trading Cards",73
"137",50,"Female","Married",4286,"bandit-profit","Trading Cards",46
"138",51,"Female","Single",4716,"bandit-picsou","Trading Cards",37
"139",42,"Male","Married",4292,"bandit-donsaluste","Dachshunds",540
"140",46,"Male","Single",4289,"bandit-donsaluste","Dachshunds",288
"141",72,"Male","Married",5800,"bandit-profit","Brass Animals",130
"142",39,"Male","Single",3997,"bandit-radinou","Dachshunds",406
"143",31,"Female","Single",3539,"bandit-radinou","Dachshunds",439
"144",51,"Female","Married",3973,"bandit-donsaluste","Dachshunds",426
"145",18,"Male","Single",2993,"bandit-picsou","Trading Cards",61
"146",62,"Male","Married",5357,"bandit-radinou","Dachshunds",404
"147",33,"Female","Single",3770,"bandit-picsou","Trading Cards",60
"148",77,"Male","Married",5620,"bandit-donsaluste","Dachshunds",411
"149",31,"Female","Single",3961,"bandit-radinou","Trading Cards",60
"150",59,"Female","Married",4467,"bandit-profit","Dachshunds",410
"151",27,"Female","Single",2927,"bandit-picsou","Trading Cards",54
"152",20,"Male","Single",1967,"bandit-radinou","Dachshunds",415
"153",40,"Female","Single",4014,"bandit-donsaluste","Trading Cards",48
"154",58,"Female","Divorced",3654,"bandit-donsaluste","Dachshunds",335
"155",74,"Male","Single",5609,"bandit-radinou","Trading Cards",36
"156",36,"Male","Married",3664,"bandit-picsou","Trading Cards",49
"157",26,"Male","Single",3856,"bandit-donsaluste","Trading Cards",38
"158",26,"Female","Single",2612,"bandit-radinou","Dachshunds",260
"159",63,"Male","Married",4483,"bandit-donsaluste","Brass Animals",117
"160",81,"Male","Married",4736,"bandit-profit","Dachshunds",290
"161",53,"Female","Married",4105,"bandit-donsaluste","Trading Cards",44
"162",53,"Male","Married",3784,"bandit-picsou","Trading Cards",33
"163",51,"Female","Married",4218,"bandit-donsaluste","Dachshunds",428
"164",63,"Female","Married",4748,"bandit-donsaluste","Trading Cards",72
"165",49,"Male","Married",4561,"bandit-donsaluste","Dachshunds",370
"166",75,"Female","Married",4969,"bandit-donsaluste","Brass Animals",70
"167",35,"Female","Single",3529,"bandit-picsou","Trading Cards",49
"168",27,"Male","Single",2346,"bandit-picsou","Trading Cards",36
"169",53,"Female","Single",4438,"bandit-donsaluste","Dachshunds",234
"170",42,"Female","Married",4466,"bandit-donsaluste","Dachshunds",384
"171",63,"Female","Married",5446,"bandit-donsaluste","Trading Cards",55
"172",37,"Male","Married",3882,"bandit-picsou","Brass Animals",104
"173",19,"Female","Single",2453,"bandit-picsou","Dachshunds",587
"174",28,"Male","Single",3121,"bandit-picsou","Trading Cards",43
"175",64,"Male","Married",5158,"bandit-profit","Trading Cards",52
"176",30,"Male","Single",3729,"bandit-donsaluste","Dachshunds",587
"177",37,"Male","Single",3351,"bandit-radinou","Dachshunds",508
"178",32,"Female","Single",3297,"bandit-picsou","Trading Cards",68
"179",22,"Male","Single",2547,"bandit-profit","Trading Cards",64
"180",42,"Male","Single",3714,"bandit-donsaluste","Trading Cards",44
"181",59,"Male","Married",4650,"bandit-profit","Brass Animals",117
"182",47,"Male","Single",4256,"bandit-donsaluste","Dachshunds",422
"183",78,"Male","Married",5031,"bandit-picsou","Brass Animals",81
"184",68,"Female","Divorced",4900,"bandit-profit","Dachshunds",340
"185",46,"Female","Single",3454,"bandit-donsaluste","Trading Cards",47
"186",47,"Female","Married",4378,"bandit-picsou","Dachshunds",443
"187",61,"Male","Widowed",4635,"bandit-radinou","Brass Animals",90
"188",32,"Male","Single",3360,"bandit-profit","Trading Cards",45
"189",51,"Female","Married",5025,"bandit-profit","Brass Animals",111
"190",66,"Male","Married",5281,"bandit-donsaluste","Trading Cards",62
"191",61,"Male","Married",5411,"bandit-profit","Dachshunds",492
"192",36,"Male","Single",3835,"bandit-profit","Trading Cards",65
"193",25,"Female","Single",2723,"bandit-profit","Trading Cards",36
"194",69,"Male","Divorced",4413,"bandit-profit","Brass Animals",82
"195",79,"Female","Divorced",5111,"bandit-picsou","Trading Cards",57
"196",59,"Female","Married",4697,"bandit-profit","Dachshunds",347
"197",59,"Male","Married",4097,"bandit-donsaluste","Dachshunds",313
"198",23,"Male","Single",2199,"bandit-radinou","Dachshunds",273
"199",80,"Female","Married",4985,"bandit-profit","Brass Animals",84
"200",69,"Female","Married",5198,"bandit-profit","Brass Animals",125
"201",39,"Female","Married",3217,"bandit-picsou","Dachshunds",493
"202",72,"Female","Single",5601,"bandit-profit","Dachshunds",333
"203",27,"Male","Single",2517,"bandit-radinou","Trading Cards",53
"204",26,"Female","Single",3029,"bandit-picsou","Trading Cards",50
"205",51,"Female","Single",4486,"bandit-profit","Dachshunds",361
"206",59,"Male","Single",4204,"bandit-profit","Trading Cards",50
"207",60,"Female","Married",5417,"bandit-picsou","Dachshunds",406
"208",88,"Male","Widowed",5341,"bandit-profit","Dachshunds",401
"209",51,"Female","Divorced",3837,"bandit-profit","Dachshunds",465
"210",34,"Male","Single",2941,"bandit-picsou","Dachshunds",353
"211",78,"Female","Single",4904,"bandit-donsaluste","Brass Animals",106
"212",36,"Female","Single",3598,"bandit-profit","Trading Cards",41
"213",52,"Male","Married",4530,"bandit-profit","Brass Animals",137
"214",69,"Male","Married",4641,"bandit-picsou","Dachshunds",467
"215",24,"Female","Single",2234,"bandit-radinou","Trading Cards",49
"216",44,"Male","Single",4129,"bandit-donsaluste","Brass Animals",95
"217",28,"Female","Single",3325,"bandit-donsaluste","Dachshunds",315
"218",52,"Female","Single",3569,"bandit-profit","Trading Cards",71
"219",18,"Female","Single",2169,"bandit-radinou","Dachshunds",519
"220",49,"Female","Married",4850,"bandit-profit","Dachshunds",447
"221",44,"Female","Divorced",3599,"bandit-radinou","Dachshunds",472
"222",50,"Female","Married",3492,"bandit-profit","Dachshunds",263
"223",80,"Male","Widowed",5092,"bandit-donsaluste","Dachshunds",379
"224",32,"Female","Single",3046,"bandit-profit","Trading Cards",37
"225",85,"Female","Married",4763,"bandit-profit","Dachshunds",441
"226",73,"Male","Married",4657,"bandit-profit","Brass Animals",91
"227",19,"Female","Single",2321,"bandit-radinou","Brass Animals",134
"228",53,"Female","Single",3749,"bandit-donsaluste","Trading Cards",58
"229",24,"Male","Single",2381,"bandit-radinou","Dachshunds",431
"230",50,"Male","Single",4207,"bandit-profit","Brass Animals",75
"231",25,"Female","Single",3913,"bandit-picsou","Dachshunds",290
"232",27,"Male","Married",2695,"bandit-donsaluste","Dachshunds",299
"233",58,"Female","Divorced",4610,"bandit-profit","Brass Animals",130
"234",59,"Female","Divorced",4726,"bandit-profit","Dachshunds",407
"235",19,"Female","Single",1969,"bandit-profit","Trading Cards",38
"236",52,"Female","Single",4666,"bandit-profit","Dachshunds",513
"237",20,"Female","Single",2064,"bandit-profit","Trading Cards",53
"238",52,"Female","Divorced",4280,"bandit-picsou","Dachshunds",375
"239",39,"Male","Married",3774,"bandit-donsaluste","Brass Animals",78
"240",49,"Male","Married",3666,"bandit-profit","Brass Animals",76
"241",52,"Male","Married",4140,"bandit-donsaluste","Trading Cards",41
"242",23,"Female","Single",2567,"bandit-radinou","Trading Cards",54
"243",70,"Female","Divorced",5687,"bandit-donsaluste","Brass Animals",74
"244",69,"Female","Married",4193,"bandit-profit","Dachshunds",383
"245",48,"Female","Divorced",3886,"bandit-profit","Dachshunds",460
"246",19,"Female","Single",2167,"bandit-radinou","Trading Cards",39
"247",65,"Male","Married",4876,"bandit-picsou","Dachshunds",395
"248",25,"Female","Single",3702,"bandit-picsou","Dachshunds",305
"249",39,"Female","Single",3853,"bandit-picsou","Dachshunds",432
"250",62,"Male","Married",5080,"bandit-donsaluste","Brass Animals",129
"251",63,"Female","Married",4970,"bandit-profit","Dachshunds",505
"252",33,"Female","Single",3062,"bandit-picsou","Dachshunds",378
"253",61,"Female","Divorced",4970,"bandit-radinou","Dachshunds",367
"254",52,"Male","Married",4014,"bandit-profit","Dachshunds",405
"255",41,"Female","Married",4363,"bandit-picsou","Dachshunds",341
"256",25,"Male","Single",3111,"bandit-radinou","Trading Cards",44
"257",32,"Female","Single",4302,"bandit-donsaluste","Trading Cards",63
"258",38,"Male","Single",4463,"bandit-profit","Dachshunds",395
"259",25,"Male","Single",3007,"bandit-radinou","Dachshunds",475
"260",46,"Female","Divorced",4298,"bandit-radinou","Brass Animals",128
"261",69,"Female","Divorced",5474,"bandit-profit","Dachshunds",416
"262",52,"Male","Married",3976,"bandit-donsaluste","Brass Animals",123
"263",57,"Male","Married",4526,"bandit-profit","Trading Cards",52
"264",53,"Female","Divorced",4311,"bandit-profit","Dachshunds",348
"265",59,"Female","Single",4474,"bandit-donsaluste","Dachshunds",365
"266",48,"Female","Married",4189,"bandit-profit","Trading Cards",32
"267",85,"Female","Married",5137,"bandit-picsou","Dachshunds",386
"268",49,"Male","Divorced",3973,"bandit-picsou","Dachshunds",505
"269",77,"Female","Widowed",5135,"bandit-radinou","Brass Animals",98
"270",68,"Female","Married",5549,"bandit-profit","Dachshunds",483
"271",78,"Male","Divorced",4729,"bandit-profit","Dachshunds",543
"272",26,"Male","Single",2677,"bandit-radinou","Brass Animals",74
"273",66,"Female","Divorced",5190,"bandit-profit","Brass Animals",89
"274",22,"Male","Single",2425,"bandit-radinou","Trading Cards",49
"275",27,"Female","Single",2739,"bandit-picsou","Trading Cards",64
"276",65,"Male","Married",4494,"bandit-donsaluste","Dachshunds",422
"277",38,"Male","Single",3974,"bandit-picsou","Trading Cards",49
"278",63,"Male","Married",4809,"bandit-donsaluste","Trading Cards",41
"279",43,"Male","Single",4291,"bandit-radinou","Trading Cards",34
"280",18,"Male","Single",2178,"bandit-donsaluste","Trading Cards",46
"281",44,"Male","Single",3589,"bandit-profit","Trading Cards",48
"282",57,"Male","Married",4877,"bandit-donsaluste","Brass Animals",92
"283",65,"Female","Married",5013,"bandit-donsaluste","Brass Animals",122
"284",54,"Female","Married",4224,"bandit-profit","Trading Cards",38
"285",41,"Female","Single",4142,"bandit-donsaluste","Dachshunds",496
"286",58,"Male","Divorced",4733,"bandit-profit","Trading Cards",43
"287",55,"Female","Single",4470,"bandit-donsaluste","Brass Animals",116
"288",90,"Female","Widowed",4629,"bandit-profit","Dachshunds",371
"289",72,"Male","Married",4666,"bandit-profit","Dachshunds",389
"290",31,"Female","Single",3819,"bandit-picsou","Dachshunds",460
"291",42,"Female","Married",5123,"bandit-donsaluste","Dachshunds",516
"292",54,"Female","Married",4278,"bandit-donsaluste","Dachshunds",466
"293",49,"Male","Married",4226,"bandit-donsaluste","Brass Animals",92
"294",73,"Female","Divorced",4968,"bandit-profit","Dachshunds",366
"295",74,"Female","Married",4684,"bandit-donsaluste","Dachshunds",402
"296",88,"Female","Widowed",4804,"bandit-picsou","Brass Animals",93
"297",72,"Female","Married",5367,"bandit-profit","Brass Animals",71
"298",29,"Female","Single",2827,"bandit-donsaluste","Dachshunds",493
"299",19,"Male","Single",2572,"bandit-radinou","Dachshunds",528
"300",59,"Female","Married",4402,"bandit-profit","Brass Animals",105
"301",80,"Male","Widowed",4528,"bandit-profit","Brass Animals",121
"302",33,"Male","Single",3863,"bandit-picsou","Trading Cards",34
"303",78,"Male","Married",5527,"bandit-profit","Trading Cards",73
"304",60,"Male","Divorced",5488,"bandit-donsaluste","Trading Cards",69
"305",51,"Male","Married",4541,"bandit-donsaluste","Dachshunds",382
"306",53,"Male","Single",4824,"bandit-donsaluste","Trading Cards",32
"307",31,"Female","Single",3526,"bandit-picsou","Trading Cards",44
"308",48,"Female","Divorced",3888,"bandit-donsaluste","Dachshunds",329
"309",58,"Female","Single",4595,"bandit-donsaluste","Trading Cards",57
"310",38,"Male","Single",3202,"bandit-donsaluste","Dachshunds",529
"311",75,"Male","Widowed",4219,"bandit-radinou","Brass Animals",84
"312",54,"Male","Married",5128,"bandit-profit","Trading Cards",54
"313",45,"Male","Married",4425,"bandit-radinou","Brass Animals",84
"314",40,"Male","Single",3960,"bandit-picsou","Trading Cards",43
"315",35,"Male","Single",4030,"bandit-radinou","Dachshunds",441
"316",25,"Female","Married",3077,"bandit-picsou","Dachshunds",441
"317",25,"Female","Single",3042,"bandit-radinou","Trading Cards",45
"318",60,"Female","Married",5293,"bandit-profit","Trading Cards",60
"319",34,"Male","Single",3947,"bandit-picsou","Trading Cards",49
"320",54,"Female","Single",4584,"bandit-donsaluste","Trading Cards",27
"321",68,"Female","Married",4635,"bandit-picsou","Brass Animals",51
"322",64,"Female","Divorced",5539,"bandit-donsaluste","Dachshunds",404
"323",55,"Male","Single",5117,"bandit-profit","Trading Cards",43
"324",47,"Male","Married",4571,"bandit-picsou","Brass Animals",103
"325",24,"Male","Single",2926,"bandit-radinou","Trading Cards",52
"326",42,"Male","Single",4006,"bandit-picsou","Brass Animals",94
"327",60,"Female","Married",5555,"bandit-profit","Dachshunds",487
"328",65,"Female","Married",5417,"bandit-donsaluste","Dachshunds",395
"329",55,"Female","Single",3952,"bandit-profit","Trading Cards",39
"330",18,"Female","Single",2224,"bandit-radinou","Trading Cards",50
"331",29,"Female","Married",3109,"bandit-picsou","Dachshunds",574
"332",31,"Female","Single",3529,"bandit-picsou","Trading Cards",36
"333",34,"Male","Single",3182,"bandit-picsou","Trading Cards",44
"334",89,"Male","Married",5403,"bandit-profit","Trading Cards",48
"335",21,"Female","Single",2364,"bandit-profit","Dachshunds",481
"336",51,"Male","Married",4623,"bandit-profit","Dachshunds",560
"337",41,"Female","Single",3478,"bandit-picsou","Brass Animals",75
"338",82,"Female","Widowed",5773,"bandit-profit","Dachshunds",351
"339",57,"Male","Single",4760,"bandit-picsou","Dachshunds",328
"340",19,"Male","Single",2028,"bandit-picsou","Trading Cards",43
"341",57,"Male","Married",5012,"bandit-profit","Trading Cards",53
"342",36,"Female","Divorced",3405,"bandit-radinou","Trading Cards",59
"343",32,"Female","Married",3087,"bandit-picsou","Dachshunds",500
"344",23,"Male","Single",1741,"bandit-donsaluste","Trading Cards",34
"345",30,"Female","Single",3956,"bandit-radinou","Dachshunds",418
"346",44,"Male","Divorced",4495,"bandit-profit","Dachshunds",297
"347",78,"Male","Married",5245,"bandit-profit","Trading Cards",44
"348",59,"Male","Married",4425,"bandit-profit","Dachshunds",355
"349",69,"Female","Married",4528,"bandit-profit","Trading Cards",63
"350",27,"Female","Single",2787,"bandit-picsou","Dachshunds",355
"351",24,"Female","Single",2098,"bandit-picsou","Trading Cards",46
"352",51,"Male","Divorced",4527,"bandit-donsaluste","Dachshunds",483
"353",62,"Male","Married",5325,"bandit-profit","Trading Cards",46
"354",18,"Female","Single",2639,"bandit-radinou","Brass Animals",105
"355",71,"Female","Married",5426,"bandit-donsaluste","Trading Cards",59
"356",46,"Female","Married",3870,"bandit-donsaluste","Brass Animals",90
"357",65,"Male","Married",5121,"bandit-profit","Dachshunds",422
"358",49,"Male","Single",4249,"bandit-donsaluste","Trading Cards",58
"359",48,"Male","Single",3678,"bandit-picsou","Trading Cards",50
"360",48,"Male","Single",4070,"bandit-donsaluste","Trading Cards",36
"361",41,"Male","Single",4085,"bandit-picsou","Dachshunds",370
"362",35,"Female","Married",4177,"bandit-picsou","Dachshunds",448
"363",75,"Male","Married",4535,"bandit-profit","Brass Animals",101
"364",62,"Female","Married",4967,"bandit-radinou","Dachshunds",478
"365",24,"Female","Single",3036,"bandit-radinou","Dachshunds",381
"366",52,"Female","Married",4506,"bandit-profit","Brass Animals",110
"367",29,"Female","Married",3532,"bandit-donsaluste","Dachshunds",373
"368",59,"Male","Divorced",4792,"bandit-profit","Dachshunds",430
"369",35,"Female","Married",3371,"bandit-donsaluste","Brass Animals",137
"370",33,"Male","Divorced",2302,"bandit-picsou","Brass Animals",99
"371",59,"Male","Married",4523,"bandit-donsaluste","Brass Animals",74
"372",53,"Female","Married",4905,"bandit-donsaluste","Brass Animals",99
"373",64,"Male","Single",4689,"bandit-profit","Dachshunds",262
"374",66,"Male","Married",4962,"bandit-radinou","Trading Cards",49
"375",81,"Female","Divorced",5308,"bandit-donsaluste","Brass Animals",106
"376",30,"Male","Married",2615,"bandit-profit","Dachshunds",466
"377",82,"Female","Married",4165,"bandit-picsou","Trading Cards",54
"378",52,"Female","Married",4516,"bandit-picsou","Dachshunds",447
"379",58,"Female","Married",4846,"bandit-donsaluste","Brass Animals",110
"380",77,"Male","Married",5270,"bandit-picsou","Dachshunds",469
"381",42,"Male","Single",3387,"bandit-picsou","Trading Cards",53
"382",21,"Female","Single",1663,"bandit-radinou","Trading Cards",56
"383",66,"Male","Single",5656,"bandit-picsou","Trading Cards",27
"384",41,"Male","Single",3780,"bandit-radinou","Dachshunds",523
"385",83,"Female","Widowed",4488,"bandit-profit","Dachshunds",627
"386",46,"Female","Single",3873,"bandit-picsou","Dachshunds",458
"387",59,"Female","Married",4815,"bandit-profit","Dachshunds",463
"388",57,"Female","Married",4622,"bandit-picsou","Trading Cards",44
"389",25,"Male","Single",2660,"bandit-radinou","Trading Cards",43
"390",41,"Female","Single",4052,"bandit-picsou","Trading Cards",43
"391",80,"Female","Widowed",5308,"bandit-profit","Dachshunds",317
"392",28,"Male","Married",2207,"bandit-picsou","Trading Cards",50
"393",22,"Female","Single",2724,"bandit-radinou","Brass Animals",57
"394",80,"Male","Married",4860,"bandit-profit","Dachshunds",598
"395",68,"Female","Divorced",4269,"bandit-profit","Dachshunds",237
"396",45,"Male","Married",4568,"bandit-donsaluste","Dachshunds",505
"397",66,"Male","Divorced",5022,"bandit-profit","Dachshunds",450
"398",64,"Male","Widowed",4838,"bandit-picsou","Dachshunds",192
"399",60,"Male","Married",4704,"bandit-donsaluste","Brass Animals",95
"400",25,"Male","Single",2822,"bandit-donsaluste","Dachshunds",427
"401",34,"Male","Single",3578,"bandit-radinou","Trading Cards",35
"402",76,"Male","Married",5332,"bandit-profit","Brass Animals",107
"403",43,"Male","Married",4044,"bandit-picsou","Dachshunds",354
"404",30,"Female","Single",3084,"bandit-radinou","Dachshunds",481
"405",50,"Male","Married",4536,"bandit-donsaluste","Dachshunds",380
"406",31,"Female","Married",3826,"bandit-picsou","Dachshunds",445
"407",30,"Female","Single",3545,"bandit-picsou","Trading Cards",64
"408",60,"Male","Single",5116,"bandit-profit","Trading Cards",36
"409",54,"Male","Married",4181,"bandit-picsou","Dachshunds",575
"410",41,"Male","Married",3646,"bandit-picsou","Brass Animals",112
"411",36,"Male","Single",4029,"bandit-profit","Dachshunds",459
"412",45,"Female","Divorced",4235,"bandit-donsaluste","Dachshunds",260
"413",18,"Female","Single",2343,"bandit-radinou","Trading Cards",64
"414",55,"Female","Married",4171,"bandit-profit","Dachshunds",410
"415",21,"Male","Single",3243,"bandit-picsou","Trading Cards",43
