"","age"
"334",89
"335",21
"336",51
"337",41
"338",82
"339",57
"340",19
"341",57
"342",36
"343",32
"344",23
"345",30
"346",44
"347",78
"348",59
"349",69
"350",27
"351",24
"352",51
"353",62
"354",18
"355",71
"356",46
"357",65
"358",49
"359",48
"360",48
"361",41
"362",35
"363",75
"364",62
"365",24
"366",52
"367",29
"368",59
"369",35
"370",33
"371",59
"372",53
"373",64
"374",66
"375",81
"376",30
"377",82
"378",52
"379",58
"380",77
"381",42
"382",21
"383",66
"384",41
"385",83
"386",46
"387",59
"388",57
"389",25
"390",41
"391",80
"392",28
"393",22
"394",80
"395",68
"396",45
"397",66
"398",64
"399",60
"400",25
"401",34
"402",76
"403",43
"404",30
"405",50
"406",31
"407",30
"408",60
"409",54
"410",41
"411",36
"412",45
"413",18
"414",55
"415",21
"416",64
"417",26
"418",59
"419",45
"420",44
"421",90
"422",38
"423",53
"424",61
"425",18
"426",38
"427",57
"428",69
"429",40
"430",53
"431",19
"432",33
"433",24
"434",82
"435",33
"436",72
"437",22
"438",49
"439",37
"440",28
"441",46
"442",77
"443",57
"444",57
"445",59
"446",63
"447",42
"448",18
"449",59
"450",61
"451",78
"452",81
"453",20
"454",54
"455",23
"456",46
"457",84
"458",63
"459",60
"460",87
"461",53
"462",87
"463",62
"464",86
"465",60
"466",57
"467",32
"468",33
"469",18
"470",85
"471",41
"472",93
"473",44
"474",40
"475",68
"476",25
"477",69
"478",62
"479",31
"480",42
"481",29
"482",70
"483",91
"484",43
"485",28
"486",52
"487",27
"488",19
"489",69
"490",49
"491",73
"492",28
"493",35
"494",38
"495",72
"496",53
"497",66
"498",63
"499",68
"500",65
"501",18
"502",22
"503",56
"504",69
"505",37
"506",27
"507",64
"508",71
"509",53
"510",43
"511",69
"512",62
"513",58
"514",47
"515",40
"516",43
"517",39
"518",56
"519",25
"520",41
"521",36
"522",66
"523",49
"524",47
"525",66
"526",70
"527",75
"528",38
"529",65
"530",64
"531",48
"532",45
"533",48
"534",39
"535",78
"536",42
"537",22
"538",35
"539",44
"540",37
"541",54
"542",49
"543",43
"544",61
"545",39
"546",45
"547",19
"548",86
"549",44
"550",24
"551",33
"552",82
"553",54
"554",63
"555",82
"556",61
"557",45
"558",63
"559",43
"560",59
"561",72
"562",37
"563",62
"564",78
"565",59
"566",23
"567",20
"568",19
"569",61
"570",23
"571",68
"572",69
"573",85
"574",24
"575",25
"576",74
"577",56
"578",61
"579",76
"580",18
"581",54
"582",25
"583",41
"584",59
"585",21
"586",64
"587",57
"588",54
"589",35
"590",50
"591",89
"592",60
"593",86
"594",41
"595",49
"596",71
"597",40
"598",42
"599",22
"600",23
"601",25
"602",67
"603",59
"604",56
"605",66
"606",55
"607",19
"608",20
"609",48
"610",22
"611",28
"612",77
"613",30
"614",26
"615",77
"616",50
"617",35
"618",64
"619",36
"620",24
"621",89
"622",74
"623",45
"624",49
"625",69
"626",39
"627",32
"628",43
"629",21
"630",57
"631",43
"632",28
"633",51
"634",36
"635",50
"636",44
"637",34
"638",40
"639",64
"640",82
"641",45
"642",56
"643",60
"644",81
"645",30
"646",64
"647",66
"648",64
"649",32
"650",51
"651",59
"652",21
"653",56
"654",40
"655",19
"656",68
"657",57
"658",50
"659",50
"660",81
"661",49
"662",36
"663",64
"664",69
"665",51
"666",26
"667",58
"668",52
"669",33
"670",31
"671",82
"672",26
"673",60
"674",80
"675",24
"676",19
"677",20
"678",23
"679",38
"680",31
"681",38
"682",83
"683",31
"684",20
"685",87
"686",22
"687",61
"688",59
"689",83
"690",27
"691",30
"692",58
"693",74
"694",68
"695",21
"696",89
"697",55
"698",57
"699",85
"700",68
"701",83
"702",76
"703",26
"704",31
"705",66
"706",58
"707",80
"708",33
"709",38
"710",63
"711",32
"712",27
"713",89
"714",80
"715",75
"716",52
"717",36
"718",86
"719",36
"720",32
"721",70
"722",78
"723",59
"724",56
"725",70
"726",38
"727",53
"728",70
"729",39
"730",55
"731",54
"732",66
"733",34
"734",59
"735",20
"736",90
"737",28
"738",65
"739",29
"740",51
"741",69
"742",49
"743",70
"744",41
"745",34
"746",54
"747",45
"748",46
"749",78
"750",23
"751",30
"752",51
"753",88
"754",24
"755",27
"756",33
"757",49
"758",20
"759",42
"760",63
"761",54
"762",65
"763",28
"764",44
"765",40
"766",50
"767",18
"768",32
"769",37
"770",54
"771",61
"772",51
"773",49
"774",29
"775",35
"776",85
"777",31
"778",45
"779",70
"780",40
"781",31
"782",67
"783",63
"784",31
"785",47
"786",26
"787",64
"788",27
"789",75
"790",54
"791",39
"792",26
"793",31
"794",78
"795",50
"796",20
"797",50
"798",40
"799",29
"800",87
"801",23
"802",63
"803",21
"804",71
"805",58
"806",19
"807",59
"808",21
"809",38
"810",41
"811",60
"812",23
"813",62
"814",45
"815",54
"816",30
"817",38
"818",41
"819",41
"820",65
"821",39
"822",59
"823",38
"824",51
"825",41
"826",82
"827",88
"828",41
"829",18
"830",79
"831",40
"832",76
"833",61
"834",75
"835",40
"836",36
"837",78
"838",23
"839",67
"840",39
"841",40
"842",74
"843",74
"844",58
"845",68
"846",69
"847",61
"848",70
"849",36
"850",23
"851",72
"852",21
"853",82
"854",37
"855",45
"856",40
"857",70
"858",53
"859",42
"860",55
"861",96
"862",49
"863",36
"864",50
"865",65
"866",19
"867",54
"868",58
"869",24
"870",66
"871",56
"872",64
"873",67
"874",57
"875",56
"876",52
"877",55
"878",29
"879",33
"880",59
"881",81
"882",20
"883",56
"884",56
"885",53
"886",72
"887",58
"888",40
"889",78
"890",31
"891",37
"892",58
"893",52
"894",54
"895",69
"896",50
"897",40
"898",43
"899",46
"900",61
"901",48
"902",20
"903",88
"904",58
"905",44
"906",49
"907",38
"908",52
"909",54
"910",21
"911",20
"912",54
"913",80
"914",73
"915",55
"916",31
"917",45
"918",85
"919",76
"920",75
"921",29
"922",47
"923",29
"924",24
"925",61
"926",34
"927",41
"928",42
"929",44
"930",67
"931",36
"932",23
"933",57
"934",47
"935",67
"936",24
"937",30
"938",65
"939",31
"940",78
"941",74
"942",27
"943",35
"944",69
"945",73
"946",60
"947",71
"948",67
"949",38
"950",20
"951",60
"952",73
"953",84
"954",61
"955",28
"956",74
"957",86
"958",18
"959",57
"960",44
"961",67
"962",80
"963",61
"964",69
"965",30
"966",91
"967",27
"968",32
"969",52
"970",63
"971",51
"972",59
"973",57
"974",19
"975",43
"976",54
"977",44
"978",43
"979",50
"980",21
"981",74
"982",29
"983",21
"984",39
"985",58
"986",25
"987",58
"988",20
"989",21
"990",30
"991",24
"992",18
"993",56
"994",71
"995",49
"996",28
"997",66
"998",33
"999",37
"1000",45
"1001",59
"1002",41
"1003",51
"1004",41
"1005",27
"1006",78
"1007",72
"1008",21
"1009",27
"1010",38
"1011",43
"1012",68
"1013",28
"1014",42
"1015",66
"1016",44
"1017",40
"1018",29
"1019",91
"1020",76
"1021",88
"1022",23
"1023",18
"1024",20
"1025",26
"1026",62
"1027",40
"1028",19
"1029",45
"1030",34
"1031",62
"1032",64
"1033",79
"1034",27
"1035",60
"1036",58
"1037",71
"1038",48
"1039",58
"1040",47
"1041",79
"1042",70
"1043",31
"1044",74
"1045",63
"1046",35
"1047",35
"1048",90
"1049",20
"1050",52
"1051",34
"1052",54
"1053",18
"1054",45
"1055",32
"1056",35
"1057",32
"1058",42
"1059",72
"1060",49
"1061",40
"1062",77
"1063",30
"1064",74
"1065",51
"1066",51
"1067",38
"1068",69
"1069",37
"1070",67
"1071",74
"1072",88
"1073",60
"1074",51
"1075",77
"1076",83
"1077",21
"1078",31
"1079",29
"1080",31
"1081",86
"1082",69
"1083",66
"1084",76
"1085",35
"1086",44
"1087",75
"1088",69
"1089",60
"1090",64
"1091",31
"1092",36
"1093",30
"1094",36
"1095",68
"1096",85
"1097",50
"1098",24
"1099",30
"1100",73
"1101",69
"1102",49
"1103",26
"1104",52
"1105",69
"1106",59
"1107",70
"1108",49
"1109",37
"1110",68
"1111",18
"1112",32
"1113",44
"1114",71
"1115",54
"1116",63
"1117",39
"1118",64
"1119",46
"1120",28
"1121",20
"1122",70
"1123",42
"1124",82
"1125",85
"1126",64
"1127",18
"1128",39
"1129",28
"1130",87
"1131",51
"1132",39
"1133",68
"1134",83
"1135",81
"1136",81
"1137",40
"1138",59
"1139",91
"1140",50
"1141",39
"1142",37
"1143",49
"1144",51
"1145",37
"1146",72
"1147",61
"1148",34
"1149",24
"1150",36
"1151",81
"1152",76
"1153",51
"1154",46
"1155",32
"1156",26
"1157",48
"1158",60
"1159",35
"1160",35
"1161",58
"1162",41
"1163",51
"1164",29
"1165",61
"1166",46
"1167",47
"1168",46
"1169",22
"1170",23
"1171",64
"1172",34
"1173",26
"1174",60
"1175",30
"1176",72
"1177",49
"1178",53
"1179",55
"1180",42
"1181",88
"1182",75
"1183",65
"1184",49
"1185",80
"1186",43
"1187",59
"1188",82
"1189",35
"1190",44
"1191",52
"1192",45
"1193",59
"1194",28
"1195",35
"1196",73
"1197",39
"1198",32
"1199",78
"1200",63
"1201",50
"1202",64
"1203",55
"1204",71
"1205",68
"1206",36
"1207",62
"1208",28
"1209",70
"1210",59
"1211",51
"1212",69
"1213",39
"1214",70
"1215",73
"1216",40
"1217",19
"1218",32
"1219",29
"1220",20
"1221",78
"1222",36
"1223",55
"1224",76
"1225",51
"1226",56
"1227",32
"1228",23
"1229",62
"1230",74
"1231",60
"1232",63
"1233",29
"1234",72
"1235",61
"1236",55
"1237",69
"1238",28
"1239",51
"1240",30
"1241",59
"1242",44
"1243",52
"1244",65
"1245",49
"1246",66
"1247",56
"1248",72
"1249",59
"1250",55
"1251",59
"1252",47
"1253",26
"1254",68
"1255",55
"1256",54
"1257",29
"1258",44
"1259",21
"1260",80
"1261",40
"1262",81
"1263",45
"1264",46
"1265",33
"1266",70
"1267",37
"1268",74
"1269",51
"1270",32
"1271",88
"1272",47
"1273",38
"1274",61
"1275",38
"1276",42
"1277",56
"1278",30
"1279",30
"1280",62
"1281",63
"1282",39
"1283",92
"1284",30
"1285",27
"1286",33
"1287",25
"1288",90
"1289",73
"1290",65
"1291",52
"1292",23
"1293",25
"1294",90
"1295",61
"1296",40
"1297",39
"1298",82
"1299",53
"1300",32
"1301",87
"1302",66
"1303",29
"1304",48
"1305",55
"1306",67
"1307",32
"1308",45
"1309",23
"1310",21
"1311",21
"1312",39
"1313",32
"1314",87
"1315",70
"1316",78
"1317",48
"1318",56
"1319",56
"1320",61
"1321",87
"1322",24
"1323",75
"1324",71
"1325",63
"1326",49
"1327",19
"1328",51
"1329",47
"1330",54
"1331",79
"1332",43
"1333",34
"1334",59
"1335",57
"1336",38
"1337",49
"1338",59
"1339",19
"1340",38
"1341",22
"1342",70
"1343",44
"1344",37
"1345",60
"1346",31
"1347",31
"1348",38
"1349",77
"1350",66
"1351",19
"1352",32
"1353",51
"1354",19
"1355",65
"1356",67
"1357",67
"1358",64
"1359",66
"1360",31
"1361",33
"1362",20
"1363",38
"1364",60
"1365",31
"1366",46
"1367",75
"1368",26
"1369",47
"1370",51
"1371",51
"1372",26
"1373",77
"1374",55
"1375",89
"1376",56
"1377",24
"1378",42
"1379",56
"1380",74
"1381",53
"1382",49
"1383",38
"1384",59
"1385",47
"1386",65
"1387",30
"1388",77
"1389",57
"1390",37
"1391",72
"1392",38
"1393",48
"1394",29
"1395",20
"1396",62
"1397",91
"1398",21
"1399",74
"1400",39
"1401",30
"1402",32
"1403",36
"1404",28
"1405",40
"1406",57
"1407",75
"1408",43
"1409",23
"1410",53
"1411",21
"1412",21
"1413",19
"1414",28
"1415",39
"1416",31
"1417",37
"1418",87
"1419",68
"1420",63
"1421",73
"1422",52
"1423",47
"1424",90
"1425",45
"1426",29
"1427",68
"1428",59
"1429",46
"1430",35
"1431",20
"1432",49
"1433",47
"1434",63
"1435",22
"1436",26
"1437",71
"1438",21
"1439",71
"1440",65
"1441",72
"1442",51
"1443",40
"1444",44
"1445",83
"1446",73
"1447",49
"1448",63
"1449",27
"1450",37
"1451",44
"1452",20
"1453",29
"1454",74
"1455",70
"1456",74
"1457",56
"1458",84
"1459",39
"1460",56
"1461",34
"1462",59
"1463",41
"1464",75
"1465",33
"1466",26
"1467",37
"1468",33
"1469",21
"1470",40
"1471",53
"1472",70
"1473",24
"1474",49
"1475",61
"1476",24
"1477",39
"1478",70
"1479",78
"1480",34
"1481",35
"1482",50
"1483",29
"1484",30
"1485",47
"1486",27
"1487",45
"1488",74
"1489",56
"1490",87
"1491",82
"1492",65
"1493",55
"1494",29
"1495",20
"1496",44
"1497",31
"1498",52
"1499",43
"1500",42
"1501",87
"1502",75
"1503",45
"1504",21
"1505",60
"1506",47
"1507",27
"1508",49
"1509",80
"1510",68
"1511",47
"1512",54
"1513",85
"1514",63
"1515",32
"1516",31
"1517",22
"1518",18
"1519",53
"1520",26
"1521",89
"1522",31
"1523",35
"1524",43
"1525",46
"1526",56
"1527",60
"1528",73
"1529",23
"1530",71
"1531",89
"1532",52
"1533",38
"1534",25
"1535",71
"1536",45
"1537",72
"1538",24
"1539",33
"1540",58
"1541",39
"1542",45
"1543",55
"1544",28
"1545",26
"1546",68
"1547",65
"1548",40
"1549",93
"1550",66
"1551",21
"1552",64
"1553",53
"1554",34
"1555",72
"1556",61
"1557",36
"1558",35
"1559",36
"1560",63
"1561",69
"1562",40
"1563",73
"1564",31
"1565",23
"1566",50
"1567",56
"1568",39
"1569",30
"1570",49
"1571",72
"1572",35
"1573",92
"1574",47
"1575",18
"1576",63
"1577",51
"1578",36
"1579",30
"1580",66
"1581",21
"1582",56
"1583",72
"1584",52
"1585",32
"1586",28
"1587",30
"1588",21
"1589",59
"1590",48
"1591",59
"1592",21
"1593",22
"1594",76
"1595",55
"1596",55
"1597",29
"1598",72
"1599",21
"1600",74
"1601",44
"1602",41
"1603",34
"1604",84
"1605",19
"1606",19
"1607",54
"1608",62
"1609",23
"1610",29
"1611",54
"1612",64
"1613",53
"1614",78
"1615",73
"1616",19
"1617",41
"1618",40
"1619",65
"1620",72
"1621",36
"1622",25
"1623",37
"1624",48
"1625",74
"1626",21
"1627",44
"1628",32
"1629",85
"1630",68
"1631",86
"1632",59
"1633",63
"1634",45
"1635",90
"1636",60
"1637",22
"1638",63
"1639",51
"1640",61
"1641",34
"1642",56
"1643",51
"1644",62
"1645",34
"1646",50
"1647",66
"1648",24
"1649",38
"1650",21
"1651",24
"1652",72
"1653",51
"1654",56
"1655",35
"1656",33
"1657",46
"1658",58
"1659",53
"1660",49
"1661",33
"1662",77
"1663",66
"1664",72
"1665",18
"1666",67
"1667",80
"1668",35
"1669",73
"1670",40
"1671",26
"1672",67
"1673",26
"1674",50
"1675",21
"1676",26
"1677",78
"1678",67
"1679",73
"1680",27
"1681",61
"1682",25
"1683",42
"1684",57
"1685",77
"1686",26
"1687",35
"1688",56
"1689",42
"1690",31
"1691",68
"1692",59
"1693",90
"1694",21
"1695",32
"1696",72
"1697",72
"1698",57
"1699",88
"1700",36
"1701",32
"1702",75
"1703",26
"1704",28
"1705",73
"1706",45
"1707",34
"1708",47
"1709",67
"1710",75
"1711",54
"1712",46
"1713",66
"1714",66
"1715",21
"1716",90
"1717",19
"1718",47
"1719",84
"1720",50
"1721",74
"1722",67
"1723",31
"1724",29
"1725",36
"1726",35
"1727",70
"1728",26
"1729",60
"1730",83
"1731",47
"1732",52
"1733",57
"1734",59
"1735",51
"1736",52
"1737",60
"1738",49
"1739",63
"1740",65
"1741",39
"1742",47
"1743",33
"1744",47
"1745",87
"1746",56
"1747",21
"1748",20
"1749",68
"1750",72
"1751",50
"1752",63
"1753",27
"1754",82
"1755",52
"1756",56
"1757",21
"1758",80
"1759",48
"1760",64
"1761",39
"1762",38
"1763",54
"1764",72
"1765",42
"1766",51
"1767",87
"1768",58
"1769",83
"1770",24
"1771",60
"1772",48
"1773",56
"1774",49
"1775",46
"1776",21
"1777",66
"1778",46
"1779",36
"1780",48
"1781",22
"1782",37
"1783",49
"1784",61
"1785",22
"1786",31
"1787",53
"1788",18
"1789",50
"1790",42
"1791",72
"1792",42
"1793",33
"1794",73
"1795",21
"1796",62
"1797",45
"1798",71
"1799",37
"1800",92
"1801",44
"1802",56
"1803",70
"1804",32
"1805",20
"1806",53
"1807",51
"1808",26
"1809",47
"1810",30
"1811",35
"1812",33
"1813",31
"1814",24
"1815",48
"1816",48
"1817",61
"1818",21
"1819",34
"1820",39
"1821",60
"1822",40
"1823",38
"1824",66
"1825",65
"1826",22
"1827",70
"1828",23
"1829",54
"1830",19
"1831",78
"1832",49
"1833",59
"1834",74
"1835",19
"1836",41
"1837",64
"1838",24
"1839",22
"1840",24
"1841",48
"1842",35
"1843",45
"1844",37
"1845",30
"1846",53
"1847",57
"1848",52
"1849",83
"1850",59
"1851",46
"1852",34
"1853",48
"1854",47
"1855",41
"1856",31
"1857",22
"1858",60
"1859",28
"1860",30
"1861",24
"1862",20
"1863",31
"1864",18
"1865",78
"1866",61
"1867",71
"1868",33
"1869",60
"1870",28
"1871",53
"1872",42
"1873",43
"1874",95
"1875",73
"1876",68
"1877",67
"1878",58
"1879",58
"1880",65
"1881",51
"1882",51
"1883",33
"1884",35
"1885",43
"1886",34
"1887",46
"1888",40
"1889",54
"1890",32
"1891",38
"1892",74
"1893",62
"1894",31
"1895",75
"1896",69
"1897",49
"1898",60
"1899",20
"1900",30
"1901",19
"1902",74
"1903",59
"1904",21
"1905",89
"1906",57
"1907",35
"1908",42
"1909",22
"1910",57
"1911",55
"1912",64
"1913",48
"1914",45
"1915",87
"1916",47
"1917",36
"1918",25
"1919",82
"1920",36
"1921",74
"1922",46
"1923",27
"1924",21
"1925",68
"1926",67
"1927",22
"1928",69
"1929",51
"1930",36
"1931",34
"1932",30
"1933",21
"1934",52
"1935",43
"1936",29
"1937",58
"1938",38
"1939",53
"1940",60
"1941",80
"1942",28
"1943",61
"1944",48
"1945",23
"1946",23
"1947",48
"1948",62
"1949",49
"1950",45
"1951",67
"1952",25
"1953",56
"1954",69
"1955",28
"1956",41
"1957",60
"1958",40
"1959",18
"1960",39
"1961",45
"1962",34
"1963",53
"1964",61
"1965",52
"1966",89
"1967",45
"1968",26
"1969",76
"1970",57
"1971",25
"1972",61
"1973",56
"1974",24
"1975",54
"1976",68
"1977",42
"1978",29
"1979",41
"1980",65
"1981",37
"1982",64
"1983",44
"1984",71
"1985",18
"1986",57
"1987",49
"1988",35
"1989",49
"1990",20
"1991",47
"1992",37
"1993",68
"1994",21
"1995",72
"1996",32
"1997",34
"1998",50
"1999",30
"2000",32
"2001",24
"2002",66
"2003",78
"2004",25
"2005",61
"2006",58
"2007",24
"2008",26
"2009",80
"2010",35
"2011",88
"2012",24
"2013",38
"2014",61
"2015",45
"2016",62
"2017",18
"2018",49
"2019",46
"2020",81
"2021",51
"2022",55
"2023",58
"2024",69
"2025",62
"2026",66
"2027",72
"2028",32
"2029",35
"2030",44
"2031",60
"2032",52
"2033",50
"2034",43
"2035",79
"2036",29
"2037",24
"2038",47
"2039",52
"2040",49
"2041",29
"2042",64
"2043",56
"2044",20
"2045",66
"2046",23
"2047",32
"2048",23
"2049",27
"2050",64
"2051",28
"2052",23
"2053",76
"2054",29
"2055",57
"2056",73
"2057",74
"2058",84
"2059",43
"2060",50
"2061",65
"2062",23
"2063",77
"2064",74
"2065",23
"2066",52
"2067",64
"2068",51
"2069",47
"2070",53
"2071",75
"2072",37
"2073",61
"2074",48
"2075",53
"2076",41
"2077",56
"2078",45
"2079",28
"2080",24
"2081",75
"2082",57
"2083",63
"2084",44
"2085",20
"2086",31
"2087",46
"2088",48
"2089",31
"2090",53
"2091",63
"2092",38
"2093",34
"2094",78
"2095",68
"2096",59
"2097",44
"2098",49
"2099",70
"2100",53
"2101",26
"2102",71
"2103",82
"2104",53
"2105",33
"2106",32
"2107",37
"2108",50
"2109",31
"2110",33
"2111",34
"2112",53
"2113",27
"2114",68
"2115",55
"2116",30
"2117",57
"2118",26
"2119",45
"2120",56
"2121",96
"2122",34
"2123",28
"2124",23
"2125",48
"2126",38
"2127",53
"2128",22
"2129",25
"2130",59
"2131",57
"2132",21
"2133",68
"2134",66
"2135",43
"2136",74
"2137",36
"2138",19
"2139",20
"2140",59
"2141",80
"2142",37
"2143",62
"2144",48
"2145",26
"2146",64
"2147",43
"2148",56
"2149",74
"2150",82
"2151",39
"2152",82
"2153",45
"2154",40
"2155",54
"2156",53
"2157",84
"2158",50
"2159",21
"2160",22
"2161",48
"2162",45
"2163",53
"2164",87
"2165",69
"2166",28
"2167",43
"2168",34
"2169",36
"2170",35
"2171",52
"2172",39
"2173",22
"2174",52
"2175",93
"2176",24
"2177",36
"2178",67
"2179",30
"2180",41
"2181",22
"2182",25
"2183",24
"2184",73
"2185",61
"2186",70
"2187",63
"2188",42
"2189",53
"2190",76
"2191",29
"2192",48
"2193",72
"2194",55
"2195",47
"2196",27
"2197",60
"2198",42
"2199",51
"2200",27
"2201",64
"2202",59
"2203",45
"2204",59
"2205",41
"2206",62
"2207",93
"2208",39
"2209",38
"2210",57
"2211",34
"2212",68
"2213",68
"2214",30
"2215",41
"2216",45
"2217",32
"2218",39
"2219",55
"2220",60
"2221",71
"2222",46
"2223",85
"2224",39
"2225",61
"2226",45
"2227",48
"2228",35
"2229",46
"2230",43
"2231",33
"2232",43
"2233",67
"2234",65
"2235",57
"2236",21
"2237",23
"2238",42
"2239",77
"2240",58
"2241",53
"2242",66
"2243",73
"2244",49
"2245",49
"2246",26
"2247",39
"2248",64
"2249",30
"2250",36
"2251",26
"2252",65
"2253",54
"2254",79
"2255",60
"2256",20
"2257",25
"2258",41
"2259",32
"2260",59
"2261",41
"2262",25
"2263",72
"2264",42
"2265",74
"2266",64
"2267",33
"2268",81
"2269",73
"2270",73
"2271",39
"2272",71
"2273",31
"2274",56
"2275",61
"2276",69
"2277",74
"2278",29
"2279",38
"2280",24
"2281",59
"2282",34
"2283",34
"2284",36
"2285",37
"2286",28
"2287",83
"2288",55
"2289",69
"2290",45
"2291",56
"2292",83
"2293",71
"2294",62
"2295",76
"2296",67
"2297",20
"2298",28
"2299",63
"2300",63
"2301",72
"2302",78
"2303",91
"2304",29
"2305",69
"2306",35
"2307",26
"2308",78
"2309",39
"2310",61
"2311",58
"2312",22
"2313",51
"2314",74
"2315",62
"2316",29
"2317",45
"2318",78
"2319",23
"2320",39
"2321",62
"2322",64
"2323",61
"2324",22
"2325",41
"2326",32
"2327",63
"2328",30
"2329",35
"2330",71
"2331",35
"2332",23
"2333",74
"2334",49
"2335",18
"2336",47
"2337",34
"2338",51
"2339",65
"2340",30
"2341",32
"2342",55
"2343",53
"2344",53
"2345",30
"2346",72
"2347",22
"2348",27
"2349",60
"2350",37
"2351",51
"2352",34
"2353",56
"2354",70
"2355",28
"2356",39
"2357",80
"2358",52
"2359",23
"2360",25
"2361",66
"2362",48
"2363",37
"2364",56
"2365",32
"2366",33
"2367",76
"2368",35
"2369",24
"2370",40
"2371",94
"2372",53
"2373",74
"2374",34
"2375",45
"2376",32
"2377",59
"2378",57
"2379",41
"2380",49
"2381",47
"2382",30
"2383",75
"2384",34
"2385",77
"2386",61
"2387",32
"2388",69
"2389",68
"2390",43
"2391",22
"2392",72
"2393",61
"2394",74
"2395",60
"2396",58
"2397",74
"2398",66
"2399",38
"2400",71
"2401",32
"2402",23
"2403",36
"2404",21
"2405",32
"2406",24
"2407",23
"2408",61
"2409",95
"2410",24
"2411",28
"2412",57
"2413",40
"2414",45
"2415",64
"2416",75
"2417",43
"2418",60
"2419",69
"2420",35
"2421",42
"2422",58
"2423",72
"2424",56
"2425",46
"2426",64
"2427",54
"2428",59
"2429",55
"2430",25
"2431",63
"2432",62
"2433",63
"2434",69
"2435",71
"2436",36
"2437",38
"2438",41
"2439",25
"2440",47
"2441",61
"2442",36
"2443",48
"2444",68
"2445",19
"2446",22
"2447",28
"2448",54
"2449",77
"2450",69
"2451",61
"2452",54
"2453",59
"2454",27
"2455",40
"2456",35
"2457",22
"2458",78
"2459",56
"2460",39
"2461",33
"2462",74
"2463",26
"2464",75
"2465",31
"2466",30
"2467",95
"2468",21
"2469",52
"2470",20
"2471",70
"2472",43
"2473",27
"2474",43
"2475",90
"2476",52
"2477",43
"2478",83
"2479",31
"2480",57
"2481",78
"2482",56
"2483",35
"2484",31
"2485",24
"2486",55
"2487",55
"2488",51
"2489",59
"2490",76
"2491",56
"2492",64
"2493",29
"2494",79
"2495",28
"2496",82
"2497",51
"2498",93
