"","age","gender","status","salary","bank","activity","amount","challenge"
"58",58,"Female","Married",4197,"bandit-profit","Trading Cards",58,"OTP"
"59",50,"Male","Single",4097,"bandit-donsaluste","Trading Cards",39,"EMAIL"
"60",65,"Male","Married",4635,"bandit-donsaluste","Trading Cards",59,"OTP"
"61",39,"Female","Married",4101,"bandit-donsaluste","Trading Cards",61,"SMS"
"62",55,"Male","Married",4498,"bandit-donsaluste","Dachshunds",315,"OTP"
"63",37,"Female","Single",4070,"bandit-donsaluste","Dachshunds",400,"ID"
"64",81,"Female","Widowed",5131,"bandit-donsaluste","Brass Animals",108,"OTP"
"65",74,"Female","Married",4689,"bandit-picsou","Trading Cards",61,"OTP"
"66",23,"Female","Single",3040,"bandit-radinou","Dachshunds",396,"EMAIL"
"67",76,"Female","Married",4948,"bandit-profit","Dachshunds",473,"ID"
"68",75,"Female","Single",5868,"bandit-profit","Trading Cards",48,"ID"
"69",24,"Male","Single",2427,"bandit-picsou","Dachshunds",327,"SMS"
"70",26,"Female","Single",2888,"bandit-picsou","Trading Cards",43,"SMS"
"71",75,"Female","Married",4234,"bandit-donsaluste","Dachshunds",555,"ID"
"72",41,"Male","Married",4098,"bandit-donsaluste","Dachshunds",364,"SMS"
"73",33,"Male","Single",3519,"bandit-radinou","Trading Cards",43,"ID"
"74",48,"Female","Married",3991,"bandit-profit","Dachshunds",339,"ID"
"75",75,"Male","Widowed",5177,"bandit-donsaluste","Dachshunds",343,"ID"
"76",20,"Male","Single",2251,"bandit-radinou","Trading Cards",60,"OTP"
"77",58,"Female","Married",4591,"bandit-profit","Dachshunds",338,"EMAIL"
"78",73,"Male","Married",5456,"bandit-profit","Dachshunds",473,"SMS"
"79",23,"Male","Single",2695,"bandit-donsaluste","Trading Cards",34,"EMAIL"
"80",33,"Male","Married",3596,"bandit-profit","Trading Cards",51,"OTP"
"81",62,"Male","Married",5104,"bandit-donsaluste","Brass Animals",53,"ID"
"82",49,"Male","Married",4492,"bandit-picsou","Dachshunds",454,"ID"
"83",43,"Male","Single",4374,"bandit-picsou","Trading Cards",42,"ID"
"84",57,"Male","Married",4526,"bandit-profit","Dachshunds",453,"ID"
"85",45,"Female","Single",3926,"bandit-donsaluste","Dachshunds",391,"SMS"
"86",46,"Male","Married",3254,"bandit-donsaluste","Trading Cards",37,"SMS"
"87",61,"Male","Widowed",5345,"bandit-donsaluste","Brass Animals",100,"ID"
"88",74,"Male","Married",3968,"bandit-profit","Brass Animals",106,"ID"
"89",27,"Female","Married",3280,"bandit-picsou","Dachshunds",321,"OTP"
"90",77,"Male","Widowed",4349,"bandit-profit","Brass Animals",75,"ID"
"91",86,"Male","Single",4993,"bandit-donsaluste","Dachshunds",426,"EMAIL"
"92",29,"Male","Single",3469,"bandit-picsou","Dachshunds",458,"SMS"
"93",56,"Female","Married",4609,"bandit-donsaluste","Brass Animals",82,"OTP"
"94",55,"Female","Married",4654,"bandit-picsou","Dachshunds",373,"ID"
"95",50,"Male","Married",3954,"bandit-donsaluste","Brass Animals",95,"OTP"
"96",52,"Female","Married",4454,"bandit-profit","Trading Cards",40,"SMS"
"97",20,"Female","Single",1877,"bandit-radinou","Brass Animals",129,"EMAIL"
"98",57,"Male","Married",4713,"bandit-profit","Trading Cards",25,"OTP"
"99",51,"Female","Divorced",4261,"bandit-profit","Trading Cards",59,"EMAIL"
"100",68,"Female","Married",4919,"bandit-profit","Trading Cards",33,"OTP"
"101",23,"Female","Single",2554,"bandit-radinou","Trading Cards",56,"OTP"
"102",46,"Male","Married",3865,"bandit-donsaluste","Dachshunds",496,"OTP"
"103",36,"Female","Single",3275,"bandit-donsaluste","Brass Animals",94,"SMS"
"104",32,"Male","Married",2798,"bandit-picsou","Dachshunds",411,"EMAIL"
"105",27,"Female","Single",2550,"bandit-radinou","Trading Cards",60,"OTP"
"106",34,"Female","Married",3968,"bandit-picsou","Trading Cards",30,"OTP"
"107",58,"Female","Married",4738,"bandit-radinou","Brass Animals",96,"SMS"
"108",59,"Female","Divorced",4813,"bandit-donsaluste","Dachshunds",308,"SMS"
"109",47,"Female","Married",4257,"bandit-picsou","Dachshunds",465,"OTP"
"110",75,"Male","Divorced",4988,"bandit-picsou","Dachshunds",495,"EMAIL"
"111",33,"Male","Single",3684,"bandit-donsaluste","Trading Cards",49,"EMAIL"
"112",78,"Female","Married",4690,"bandit-profit","Dachshunds",383,"OTP"
"113",76,"Male","Married",4929,"bandit-radinou","Trading Cards",54,"ID"
"114",35,"Female","Single",3601,"bandit-profit","Trading Cards",67,"SMS"
"115",76,"Female","Widowed",4794,"bandit-profit","Dachshunds",478,"ID"
"116",53,"Female","Single",3712,"bandit-donsaluste","Trading Cards",61,"OTP"
"117",43,"Female","Married",4631,"bandit-picsou","Trading Cards",59,"OTP"
"118",18,"Male","Single",2163,"bandit-radinou","Trading Cards",52,"SMS"
"119",70,"Male","Married",4426,"bandit-donsaluste","Trading Cards",61,"OTP"
"120",28,"Male","Single",2642,"bandit-radinou","Trading Cards",34,"EMAIL"
"121",89,"Female","Widowed",5489,"bandit-profit","Dachshunds",430,"ID"
"122",72,"Female","Married",5233,"bandit-profit","Dachshunds",461,"EMAIL"
"123",59,"Female","Married",4363,"bandit-profit","Dachshunds",372,"OTP"
"124",37,"Female","Single",4008,"bandit-radinou","Dachshunds",472,"OTP"
"125",55,"Male","Married",4162,"bandit-profit","Trading Cards",55,"EMAIL"
"126",53,"Male","Widowed",4431,"bandit-donsaluste","Brass Animals",94,"SMS"
"127",22,"Male","Single",3677,"bandit-radinou","Trading Cards",49,"SMS"
"128",49,"Female","Married",4212,"bandit-picsou","Trading Cards",41,"OTP"
"129",73,"Male","Married",4799,"bandit-radinou","Dachshunds",355,"OTP"
"130",90,"Female","Married",4942,"bandit-profit","Dachshunds",256,"ID"
"131",18,"Female","Single",2154,"bandit-profit","Dachshunds",464,"EMAIL"
"132",65,"Male","Married",4997,"bandit-donsaluste","Dachshunds",369,"OTP"
"133",58,"Female","Married",4616,"bandit-picsou","Brass Animals",97,"OTP"
"134",69,"Male","Married",5140,"bandit-donsaluste","Dachshunds",553,"ID"
"135",21,"Female","Single",3403,"bandit-radinou","Trading Cards",33,"EMAIL"
"136",82,"Male","Married",5012,"bandit-donsaluste","Trading Cards",73,"OTP"
"137",50,"Female","Married",4286,"bandit-profit","Trading Cards",46,"ID"
"138",51,"Female","Single",4716,"bandit-picsou","Trading Cards",37,"OTP"
"139",42,"Male","Married",4292,"bandit-donsaluste","Dachshunds",540,"SMS"
"140",46,"Male","Single",4289,"bandit-donsaluste","Dachshunds",288,"OTP"
"141",72,"Male","Married",5800,"bandit-profit","Brass Animals",130,"OTP"
"142",39,"Male","Single",3997,"bandit-radinou","Dachshunds",406,"SMS"
"143",31,"Female","Single",3539,"bandit-radinou","Dachshunds",439,"SMS"
"144",51,"Female","Married",3973,"bandit-donsaluste","Dachshunds",426,"ID"
"145",18,"Male","Single",2993,"bandit-picsou","Trading Cards",61,"SMS"
"146",62,"Male","Married",5357,"bandit-radinou","Dachshunds",404,"OTP"
"147",33,"Female","Single",3770,"bandit-picsou","Trading Cards",60,"ID"
"148",77,"Male","Married",5620,"bandit-donsaluste","Dachshunds",411,"SMS"
"149",31,"Female","Single",3961,"bandit-radinou","Trading Cards",60,"EMAIL"
"150",59,"Female","Married",4467,"bandit-profit","Dachshunds",410,"ID"
"151",27,"Female","Single",2927,"bandit-picsou","Trading Cards",54,"OTP"
"152",20,"Male","Single",1967,"bandit-radinou","Dachshunds",415,"SMS"
"153",40,"Female","Single",4014,"bandit-donsaluste","Trading Cards",48,"OTP"
"154",58,"Female","Divorced",3654,"bandit-donsaluste","Dachshunds",335,"ID"
"155",74,"Male","Single",5609,"bandit-radinou","Trading Cards",36,"ID"
"156",36,"Male","Married",3664,"bandit-picsou","Trading Cards",49,"EMAIL"
"157",26,"Male","Single",3856,"bandit-donsaluste","Trading Cards",38,"EMAIL"
"158",26,"Female","Single",2612,"bandit-radinou","Dachshunds",260,"OTP"
"159",63,"Male","Married",4483,"bandit-donsaluste","Brass Animals",117,"OTP"
"160",81,"Male","Married",4736,"bandit-profit","Dachshunds",290,"OTP"
"161",53,"Female","Married",4105,"bandit-donsaluste","Trading Cards",44,"EMAIL"
"162",53,"Male","Married",3784,"bandit-picsou","Trading Cards",33,"EMAIL"
"163",51,"Female","Married",4218,"bandit-donsaluste","Dachshunds",428,"OTP"
"164",63,"Female","Married",4748,"bandit-donsaluste","Trading Cards",72,"OTP"
"165",49,"Male","Married",4561,"bandit-donsaluste","Dachshunds",370,"ID"
"166",75,"Female","Married",4969,"bandit-donsaluste","Brass Animals",70,"OTP"
"167",35,"Female","Single",3529,"bandit-picsou","Trading Cards",49,"SMS"
"168",27,"Male","Single",2346,"bandit-picsou","Trading Cards",36,"EMAIL"
"169",53,"Female","Single",4438,"bandit-donsaluste","Dachshunds",234,"OTP"
"170",42,"Female","Married",4466,"bandit-donsaluste","Dachshunds",384,"OTP"
"171",63,"Female","Married",5446,"bandit-donsaluste","Trading Cards",55,"SMS"
"172",37,"Male","Married",3882,"bandit-picsou","Brass Animals",104,"OTP"
"173",19,"Female","Single",2453,"bandit-picsou","Dachshunds",587,"ID"
"174",28,"Male","Single",3121,"bandit-picsou","Trading Cards",43,"SMS"
"175",64,"Male","Married",5158,"bandit-profit","Trading Cards",52,"OTP"
"176",30,"Male","Single",3729,"bandit-donsaluste","Dachshunds",587,"OTP"
"177",37,"Male","Single",3351,"bandit-radinou","Dachshunds",508,"SMS"
"178",32,"Female","Single",3297,"bandit-picsou","Trading Cards",68,"OTP"
"179",22,"Male","Single",2547,"bandit-profit","Trading Cards",64,"EMAIL"
"180",42,"Male","Single",3714,"bandit-donsaluste","Trading Cards",44,"EMAIL"
"181",59,"Male","Married",4650,"bandit-profit","Brass Animals",117,"SMS"
"182",47,"Male","Single",4256,"bandit-donsaluste","Dachshunds",422,"OTP"
"183",78,"Male","Married",5031,"bandit-picsou","Brass Animals",81,"ID"
"184",68,"Female","Divorced",4900,"bandit-profit","Dachshunds",340,"ID"
"185",46,"Female","Single",3454,"bandit-donsaluste","Trading Cards",47,"EMAIL"
"186",47,"Female","Married",4378,"bandit-picsou","Dachshunds",443,"ID"
"187",61,"Male","Widowed",4635,"bandit-radinou","Brass Animals",90,"ID"
"188",32,"Male","Single",3360,"bandit-profit","Trading Cards",45,"EMAIL"
"189",51,"Female","Married",5025,"bandit-profit","Brass Animals",111,"EMAIL"
"190",66,"Male","Married",5281,"bandit-donsaluste","Trading Cards",62,"EMAIL"
"191",61,"Male","Married",5411,"bandit-profit","Dachshunds",492,"OTP"
"192",36,"Male","Single",3835,"bandit-profit","Trading Cards",65,"OTP"
"193",25,"Female","Single",2723,"bandit-profit","Trading Cards",36,"OTP"
"194",69,"Male","Divorced",4413,"bandit-profit","Brass Animals",82,"OTP"
"195",79,"Female","Divorced",5111,"bandit-picsou","Trading Cards",57,"OTP"
"196",59,"Female","Married",4697,"bandit-profit","Dachshunds",347,"EMAIL"
"197",59,"Male","Married",4097,"bandit-donsaluste","Dachshunds",313,"ID"
"198",23,"Male","Single",2199,"bandit-radinou","Dachshunds",273,"OTP"
"199",80,"Female","Married",4985,"bandit-profit","Brass Animals",84,"OTP"
"200",69,"Female","Married",5198,"bandit-profit","Brass Animals",125,"SMS"
"201",39,"Female","Married",3217,"bandit-picsou","Dachshunds",493,"SMS"
"202",72,"Female","Single",5601,"bandit-profit","Dachshunds",333,"OTP"
"203",27,"Male","Single",2517,"bandit-radinou","Trading Cards",53,"SMS"
"204",26,"Female","Single",3029,"bandit-picsou","Trading Cards",50,"OTP"
"205",51,"Female","Single",4486,"bandit-profit","Dachshunds",361,"SMS"
"206",59,"Male","Single",4204,"bandit-profit","Trading Cards",50,"OTP"
"207",60,"Female","Married",5417,"bandit-picsou","Dachshunds",406,"OTP"
"208",88,"Male","Widowed",5341,"bandit-profit","Dachshunds",401,"OTP"
"209",51,"Female","Divorced",3837,"bandit-profit","Dachshunds",465,"ID"
"210",34,"Male","Single",2941,"bandit-picsou","Dachshunds",353,"SMS"
"211",78,"Female","Single",4904,"bandit-donsaluste","Brass Animals",106,"EMAIL"
"212",36,"Female","Single",3598,"bandit-profit","Trading Cards",41,"SMS"
"213",52,"Male","Married",4530,"bandit-profit","Brass Animals",137,"EMAIL"
"214",69,"Male","Married",4641,"bandit-picsou","Dachshunds",467,"ID"
"215",24,"Female","Single",2234,"bandit-radinou","Trading Cards",49,"SMS"
"216",44,"Male","Single",4129,"bandit-donsaluste","Brass Animals",95,"OTP"
"217",28,"Female","Single",3325,"bandit-donsaluste","Dachshunds",315,"OTP"
"218",52,"Female","Single",3569,"bandit-profit","Trading Cards",71,"SMS"
"219",18,"Female","Single",2169,"bandit-radinou","Dachshunds",519,"SMS"
"220",49,"Female","Married",4850,"bandit-profit","Dachshunds",447,"EMAIL"
"221",44,"Female","Divorced",3599,"bandit-radinou","Dachshunds",472,"OTP"
"222",50,"Female","Married",3492,"bandit-profit","Dachshunds",263,"SMS"
"223",80,"Male","Widowed",5092,"bandit-donsaluste","Dachshunds",379,"ID"
"224",32,"Female","Single",3046,"bandit-profit","Trading Cards",37,"SMS"
"225",85,"Female","Married",4763,"bandit-profit","Dachshunds",441,"OTP"
"226",73,"Male","Married",4657,"bandit-profit","Brass Animals",91,"OTP"
"227",19,"Female","Single",2321,"bandit-radinou","Brass Animals",134,"EMAIL"
"228",53,"Female","Single",3749,"bandit-donsaluste","Trading Cards",58,"OTP"
"229",24,"Male","Single",2381,"bandit-radinou","Dachshunds",431,"EMAIL"
"230",50,"Male","Single",4207,"bandit-profit","Brass Animals",75,"EMAIL"
"231",25,"Female","Single",3913,"bandit-picsou","Dachshunds",290,"SMS"
"232",27,"Male","Married",2695,"bandit-donsaluste","Dachshunds",299,"OTP"
"233",58,"Female","Divorced",4610,"bandit-profit","Brass Animals",130,"OTP"
"234",59,"Female","Divorced",4726,"bandit-profit","Dachshunds",407,"ID"
"235",19,"Female","Single",1969,"bandit-profit","Trading Cards",38,"SMS"
"236",52,"Female","Single",4666,"bandit-profit","Dachshunds",513,"SMS"
"237",20,"Female","Single",2064,"bandit-profit","Trading Cards",53,"ID"
"238",52,"Female","Divorced",4280,"bandit-picsou","Dachshunds",375,"SMS"
"239",39,"Male","Married",3774,"bandit-donsaluste","Brass Animals",78,"SMS"
"240",49,"Male","Married",3666,"bandit-profit","Brass Animals",76,"OTP"
"241",52,"Male","Married",4140,"bandit-donsaluste","Trading Cards",41,"OTP"
"242",23,"Female","Single",2567,"bandit-radinou","Trading Cards",54,"EMAIL"
"243",70,"Female","Divorced",5687,"bandit-donsaluste","Brass Animals",74,"ID"
"244",69,"Female","Married",4193,"bandit-profit","Dachshunds",383,"OTP"
"245",48,"Female","Divorced",3886,"bandit-profit","Dachshunds",460,"OTP"
"246",19,"Female","Single",2167,"bandit-radinou","Trading Cards",39,"EMAIL"
"247",65,"Male","Married",4876,"bandit-picsou","Dachshunds",395,"ID"
"248",25,"Female","Single",3702,"bandit-picsou","Dachshunds",305,"SMS"
"249",39,"Female","Single",3853,"bandit-picsou","Dachshunds",432,"ID"
"250",62,"Male","Married",5080,"bandit-donsaluste","Brass Animals",129,"ID"
"251",63,"Female","Married",4970,"bandit-profit","Dachshunds",505,"EMAIL"
"252",33,"Female","Single",3062,"bandit-picsou","Dachshunds",378,"EMAIL"
"253",61,"Female","Divorced",4970,"bandit-radinou","Dachshunds",367,"OTP"
"254",52,"Male","Married",4014,"bandit-profit","Dachshunds",405,"SMS"
"255",41,"Female","Married",4363,"bandit-picsou","Dachshunds",341,"OTP"
"256",25,"Male","Single",3111,"bandit-radinou","Trading Cards",44,"SMS"
"257",32,"Female","Single",4302,"bandit-donsaluste","Trading Cards",63,"SMS"
"258",38,"Male","Single",4463,"bandit-profit","Dachshunds",395,"EMAIL"
"259",25,"Male","Single",3007,"bandit-radinou","Dachshunds",475,"OTP"
"260",46,"Female","Divorced",4298,"bandit-radinou","Brass Animals",128,"OTP"
"261",69,"Female","Divorced",5474,"bandit-profit","Dachshunds",416,"EMAIL"
"262",52,"Male","Married",3976,"bandit-donsaluste","Brass Animals",123,"ID"
"263",57,"Male","Married",4526,"bandit-profit","Trading Cards",52,"OTP"
"264",53,"Female","Divorced",4311,"bandit-profit","Dachshunds",348,"EMAIL"
"265",59,"Female","Single",4474,"bandit-donsaluste","Dachshunds",365,"OTP"
"266",48,"Female","Married",4189,"bandit-profit","Trading Cards",32,"ID"
"267",85,"Female","Married",5137,"bandit-picsou","Dachshunds",386,"ID"
"268",49,"Male","Divorced",3973,"bandit-picsou","Dachshunds",505,"OTP"
"269",77,"Female","Widowed",5135,"bandit-radinou","Brass Animals",98,"OTP"
"270",68,"Female","Married",5549,"bandit-profit","Dachshunds",483,"ID"
"271",78,"Male","Divorced",4729,"bandit-profit","Dachshunds",543,"ID"
"272",26,"Male","Single",2677,"bandit-radinou","Brass Animals",74,"SMS"
"273",66,"Female","Divorced",5190,"bandit-profit","Brass Animals",89,"ID"
"274",22,"Male","Single",2425,"bandit-radinou","Trading Cards",49,"EMAIL"
"275",27,"Female","Single",2739,"bandit-picsou","Trading Cards",64,"ID"
"276",65,"Male","Married",4494,"bandit-donsaluste","Dachshunds",422,"OTP"
"277",38,"Male","Single",3974,"bandit-picsou","Trading Cards",49,"OTP"
"278",63,"Male","Married",4809,"bandit-donsaluste","Trading Cards",41,"ID"
"279",43,"Male","Single",4291,"bandit-radinou","Trading Cards",34,"OTP"
"280",18,"Male","Single",2178,"bandit-donsaluste","Trading Cards",46,"SMS"
"281",44,"Male","Single",3589,"bandit-profit","Trading Cards",48,"OTP"
"282",57,"Male","Married",4877,"bandit-donsaluste","Brass Animals",92,"ID"
"283",65,"Female","Married",5013,"bandit-donsaluste","Brass Animals",122,"OTP"
"284",54,"Female","Married",4224,"bandit-profit","Trading Cards",38,"ID"
"285",41,"Female","Single",4142,"bandit-donsaluste","Dachshunds",496,"SMS"
"286",58,"Male","Divorced",4733,"bandit-profit","Trading Cards",43,"OTP"
"287",55,"Female","Single",4470,"bandit-donsaluste","Brass Animals",116,"ID"
"288",90,"Female","Widowed",4629,"bandit-profit","Dachshunds",371,"OTP"
"289",72,"Male","Married",4666,"bandit-profit","Dachshunds",389,"ID"
"290",31,"Female","Single",3819,"bandit-picsou","Dachshunds",460,"SMS"
"291",42,"Female","Married",5123,"bandit-donsaluste","Dachshunds",516,"EMAIL"
"292",54,"Female","Married",4278,"bandit-donsaluste","Dachshunds",466,"OTP"
"293",49,"Male","Married",4226,"bandit-donsaluste","Brass Animals",92,"ID"
"294",73,"Female","Divorced",4968,"bandit-profit","Dachshunds",366,"EMAIL"
"295",74,"Female","Married",4684,"bandit-donsaluste","Dachshunds",402,"ID"
"296",88,"Female","Widowed",4804,"bandit-picsou","Brass Animals",93,"OTP"
"297",72,"Female","Married",5367,"bandit-profit","Brass Animals",71,"OTP"
"298",29,"Female","Single",2827,"bandit-donsaluste","Dachshunds",493,"OTP"
"299",19,"Male","Single",2572,"bandit-radinou","Dachshunds",528,"EMAIL"
"300",59,"Female","Married",4402,"bandit-profit","Brass Animals",105,"OTP"
"301",80,"Male","Widowed",4528,"bandit-profit","Brass Animals",121,"ID"
"302",33,"Male","Single",3863,"bandit-picsou","Trading Cards",34,"ID"
"303",78,"Male","Married",5527,"bandit-profit","Trading Cards",73,"ID"
"304",60,"Male","Divorced",5488,"bandit-donsaluste","Trading Cards",69,"OTP"
"305",51,"Male","Married",4541,"bandit-donsaluste","Dachshunds",382,"OTP"
"306",53,"Male","Single",4824,"bandit-donsaluste","Trading Cards",32,"EMAIL"
"307",31,"Female","Single",3526,"bandit-picsou","Trading Cards",44,"SMS"
"308",48,"Female","Divorced",3888,"bandit-donsaluste","Dachshunds",329,"OTP"
"309",58,"Female","Single",4595,"bandit-donsaluste","Trading Cards",57,"OTP"
"310",38,"Male","Single",3202,"bandit-donsaluste","Dachshunds",529,"EMAIL"
"311",75,"Male","Widowed",4219,"bandit-radinou","Brass Animals",84,"ID"
"312",54,"Male","Married",5128,"bandit-profit","Trading Cards",54,"EMAIL"
"313",45,"Male","Married",4425,"bandit-radinou","Brass Animals",84,"OTP"
"314",40,"Male","Single",3960,"bandit-picsou","Trading Cards",43,"EMAIL"
"315",35,"Male","Single",4030,"bandit-radinou","Dachshunds",441,"EMAIL"
"316",25,"Female","Married",3077,"bandit-picsou","Dachshunds",441,"EMAIL"
"317",25,"Female","Single",3042,"bandit-radinou","Trading Cards",45,"EMAIL"
"318",60,"Female","Married",5293,"bandit-profit","Trading Cards",60,"OTP"
"319",34,"Male","Single",3947,"bandit-picsou","Trading Cards",49,"SMS"
"320",54,"Female","Single",4584,"bandit-donsaluste","Trading Cards",27,"SMS"
"321",68,"Female","Married",4635,"bandit-picsou","Brass Animals",51,"ID"
"322",64,"Female","Divorced",5539,"bandit-donsaluste","Dachshunds",404,"SMS"
"323",55,"Male","Single",5117,"bandit-profit","Trading Cards",43,"SMS"
"324",47,"Male","Married",4571,"bandit-picsou","Brass Animals",103,"OTP"
"325",24,"Male","Single",2926,"bandit-radinou","Trading Cards",52,"EMAIL"
"326",42,"Male","Single",4006,"bandit-picsou","Brass Animals",94,"OTP"
"327",60,"Female","Married",5555,"bandit-profit","Dachshunds",487,"OTP"
"328",65,"Female","Married",5417,"bandit-donsaluste","Dachshunds",395,"OTP"
"329",55,"Female","Single",3952,"bandit-profit","Trading Cards",39,"SMS"
"330",18,"Female","Single",2224,"bandit-radinou","Trading Cards",50,"EMAIL"
"331",29,"Female","Married",3109,"bandit-picsou","Dachshunds",574,"EMAIL"
"332",31,"Female","Single",3529,"bandit-picsou","Trading Cards",36,"SMS"
"333",34,"Male","Single",3182,"bandit-picsou","Trading Cards",44,"OTP"
"334",89,"Male","Married",5403,"bandit-profit","Trading Cards",48,"ID"
"335",21,"Female","Single",2364,"bandit-profit","Dachshunds",481,"EMAIL"
"336",51,"Male","Married",4623,"bandit-profit","Dachshunds",560,"SMS"
"337",41,"Female","Single",3478,"bandit-picsou","Brass Animals",75,"SMS"
"338",82,"Female","Widowed",5773,"bandit-profit","Dachshunds",351,"ID"
"339",57,"Male","Single",4760,"bandit-picsou","Dachshunds",328,"ID"
"340",19,"Male","Single",2028,"bandit-picsou","Trading Cards",43,"SMS"
"341",57,"Male","Married",5012,"bandit-profit","Trading Cards",53,"OTP"
"342",36,"Female","Divorced",3405,"bandit-radinou","Trading Cards",59,"OTP"
"343",32,"Female","Married",3087,"bandit-picsou","Dachshunds",500,"SMS"
"344",23,"Male","Single",1741,"bandit-donsaluste","Trading Cards",34,"OTP"
"345",30,"Female","Single",3956,"bandit-radinou","Dachshunds",418,"ID"
"346",44,"Male","Divorced",4495,"bandit-profit","Dachshunds",297,"EMAIL"
"347",78,"Male","Married",5245,"bandit-profit","Trading Cards",44,"OTP"
"348",59,"Male","Married",4425,"bandit-profit","Dachshunds",355,"EMAIL"
"349",69,"Female","Married",4528,"bandit-profit","Trading Cards",63,"OTP"
"350",27,"Female","Single",2787,"bandit-picsou","Dachshunds",355,"ID"
"351",24,"Female","Single",2098,"bandit-picsou","Trading Cards",46,"SMS"
