"","age","gender","status","salary"
"214",69,"Male","Married",4641
"215",24,"Female","Single",2234
"216",44,"Male","Single",4129
"217",28,"Female","Single",3325
"218",52,"Female","Single",3569
"219",18,"Female","Single",2169
"220",49,"Female","Married",4850
"221",44,"Female","Divorced",3599
"222",50,"Female","Married",3492
"223",80,"Male","Widowed",5092
"224",32,"Female","Single",3046
"225",85,"Female","Married",4763
"226",73,"Male","Married",4657
"227",19,"Female","Single",2321
"228",53,"Female","Single",3749
"229",24,"Male","Single",2381
"230",50,"Male","Single",4207
"231",25,"Female","Single",3913
"232",27,"Male","Married",2695
"233",58,"Female","Divorced",4610
"234",59,"Female","Divorced",4726
"235",19,"Female","Single",1969
"236",52,"Female","Single",4666
"237",20,"Female","Single",2064
"238",52,"Female","Divorced",4280
"239",39,"Male","Married",3774
"240",49,"Male","Married",3666
"241",52,"Male","Married",4140
"242",23,"Female","Single",2567
"243",70,"Female","Divorced",5687
"244",69,"Female","Married",4193
"245",48,"Female","Divorced",3886
"246",19,"Female","Single",2167
"247",65,"Male","Married",4876
"248",25,"Female","Single",3702
"249",39,"Female","Single",3853
"250",62,"Male","Married",5080
"251",63,"Female","Married",4970
"252",33,"Female","Single",3062
"253",61,"Female","Divorced",4970
"254",52,"Male","Married",4014
"255",41,"Female","Married",4363
"256",25,"Male","Single",3111
"257",32,"Female","Single",4302
"258",38,"Male","Single",4463
"259",25,"Male","Single",3007
"260",46,"Female","Divorced",4298
"261",69,"Female","Divorced",5474
"262",52,"Male","Married",3976
"263",57,"Male","Married",4526
"264",53,"Female","Divorced",4311
"265",59,"Female","Single",4474
"266",48,"Female","Married",4189
"267",85,"Female","Married",5137
"268",49,"Male","Divorced",3973
"269",77,"Female","Widowed",5135
"270",68,"Female","Married",5549
"271",78,"Male","Divorced",4729
"272",26,"Male","Single",2677
"273",66,"Female","Divorced",5190
"274",22,"Male","Single",2425
"275",27,"Female","Single",2739
"276",65,"Male","Married",4494
"277",38,"Male","Single",3974
"278",63,"Male","Married",4809
"279",43,"Male","Single",4291
"280",18,"Male","Single",2178
"281",44,"Male","Single",3589
"282",57,"Male","Married",4877
"283",65,"Female","Married",5013
"284",54,"Female","Married",4224
"285",41,"Female","Single",4142
"286",58,"Male","Divorced",4733
"287",55,"Female","Single",4470
"288",90,"Female","Widowed",4629
"289",72,"Male","Married",4666
"290",31,"Female","Single",3819
"291",42,"Female","Married",5123
"292",54,"Female","Married",4278
"293",49,"Male","Married",4226
"294",73,"Female","Divorced",4968
"295",74,"Female","Married",4684
"296",88,"Female","Widowed",4804
"297",72,"Female","Married",5367
"298",29,"Female","Single",2827
"299",19,"Male","Single",2572
"300",59,"Female","Married",4402
"301",80,"Male","Widowed",4528
"302",33,"Male","Single",3863
"303",78,"Male","Married",5527
"304",60,"Male","Divorced",5488
"305",51,"Male","Married",4541
"306",53,"Male","Single",4824
"307",31,"Female","Single",3526
"308",48,"Female","Divorced",3888
"309",58,"Female","Single",4595
"310",38,"Male","Single",3202
"311",75,"Male","Widowed",4219
"312",54,"Male","Married",5128
"313",45,"Male","Married",4425
"314",40,"Male","Single",3960
"315",35,"Male","Single",4030
"316",25,"Female","Married",3077
"317",25,"Female","Single",3042
"318",60,"Female","Married",5293
"319",34,"Male","Single",3947
"320",54,"Female","Single",4584
"321",68,"Female","Married",4635
"322",64,"Female","Divorced",5539
"323",55,"Male","Single",5117
"324",47,"Male","Married",4571
"325",24,"Male","Single",2926
"326",42,"Male","Single",4006
"327",60,"Female","Married",5555
"328",65,"Female","Married",5417
"329",55,"Female","Single",3952
"330",18,"Female","Single",2224
"331",29,"Female","Married",3109
"332",31,"Female","Single",3529
"333",34,"Male","Single",3182
"334",89,"Male","Married",5403
"335",21,"Female","Single",2364
"336",51,"Male","Married",4623
"337",41,"Female","Single",3478
"338",82,"Female","Widowed",5773
"339",57,"Male","Single",4760
"340",19,"Male","Single",2028
"341",57,"Male","Married",5012
"342",36,"Female","Divorced",3405
"343",32,"Female","Married",3087
"344",23,"Male","Single",1741
"345",30,"Female","Single",3956
"346",44,"Male","Divorced",4495
"347",78,"Male","Married",5245
"348",59,"Male","Married",4425
"349",69,"Female","Married",4528
"350",27,"Female","Single",2787
"351",24,"Female","Single",2098
"352",51,"Male","Divorced",4527
"353",62,"Male","Married",5325
"354",18,"Female","Single",2639
"355",71,"Female","Married",5426
"356",46,"Female","Married",3870
"357",65,"Male","Married",5121
"358",49,"Male","Single",4249
"359",48,"Male","Single",3678
"360",48,"Male","Single",4070
"361",41,"Male","Single",4085
"362",35,"Female","Married",4177
"363",75,"Male","Married",4535
"364",62,"Female","Married",4967
"365",24,"Female","Single",3036
"366",52,"Female","Married",4506
"367",29,"Female","Married",3532
"368",59,"Male","Divorced",4792
"369",35,"Female","Married",3371
"370",33,"Male","Divorced",2302
"371",59,"Male","Married",4523
"372",53,"Female","Married",4905
"373",64,"Male","Single",4689
"374",66,"Male","Married",4962
"375",81,"Female","Divorced",5308
"376",30,"Male","Married",2615
"377",82,"Female","Married",4165
"378",52,"Female","Married",4516
"379",58,"Female","Married",4846
"380",77,"Male","Married",5270
"381",42,"Male","Single",3387
"382",21,"Female","Single",1663
"383",66,"Male","Single",5656
"384",41,"Male","Single",3780
"385",83,"Female","Widowed",4488
"386",46,"Female","Single",3873
"387",59,"Female","Married",4815
"388",57,"Female","Married",4622
"389",25,"Male","Single",2660
"390",41,"Female","Single",4052
"391",80,"Female","Widowed",5308
"392",28,"Male","Married",2207
"393",22,"Female","Single",2724
"394",80,"Male","Married",4860
"395",68,"Female","Divorced",4269
"396",45,"Male","Married",4568
"397",66,"Male","Divorced",5022
"398",64,"Male","Widowed",4838
"399",60,"Male","Married",4704
"400",25,"Male","Single",2822
"401",34,"Male","Single",3578
"402",76,"Male","Married",5332
"403",43,"Male","Married",4044
"404",30,"Female","Single",3084
"405",50,"Male","Married",4536
"406",31,"Female","Married",3826
"407",30,"Female","Single",3545
"408",60,"Male","Single",5116
"409",54,"Male","Married",4181
"410",41,"Male","Married",3646
"411",36,"Male","Single",4029
"412",45,"Female","Divorced",4235
"413",18,"Female","Single",2343
"414",55,"Female","Married",4171
"415",21,"Male","Single",3243
"416",64,"Female","Married",4900
"417",26,"Female","Single",3566
"418",59,"Female","Divorced",5298
"419",45,"Male","Divorced",4152
"420",44,"Male","Single",4202
"421",90,"Female","Widowed",5514
"422",38,"Male","Single",3587
"423",53,"Male","Married",3423
"424",61,"Male","Married",5289
"425",18,"Male","Single",2164
"426",38,"Male","Married",4276
"427",57,"Female","Married",4481
"428",69,"Male","Married",4774
"429",40,"Male","Single",3741
"430",53,"Male","Divorced",4547
"431",19,"Female","Single",1704
"432",33,"Male","Single",3356
"433",24,"Female","Single",2825
"434",82,"Female","Married",5428
"435",33,"Female","Single",3646
"436",72,"Female","Married",4993
"437",22,"Female","Single",2377
"438",49,"Female","Divorced",3929
"439",37,"Female","Single",3164
"440",28,"Female","Single",2978
"441",46,"Female","Married",3938
"442",77,"Male","Married",5112
"443",57,"Male","Married",4920
"444",57,"Female","Single",4600
"445",59,"Female","Married",4432
"446",63,"Female","Divorced",5512
"447",42,"Male","Married",4009
"448",18,"Male","Single",2636
"449",59,"Male","Married",4612
"450",61,"Female","Married",4823
"451",78,"Female","Widowed",5209
"452",81,"Female","Widowed",5556
"453",20,"Male","Single",2998
"454",54,"Male","Married",4739
"455",23,"Male","Single",3492
"456",46,"Female","Married",4950
"457",84,"Male","Married",5193
"458",63,"Male","Married",4609
"459",60,"Male","Widowed",4951
"460",87,"Female","Married",4202
"461",53,"Male","Married",4120
"462",87,"Male","Widowed",5414
"463",62,"Female","Married",4653
"464",86,"Female","Married",4489
"465",60,"Female","Divorced",5012
"466",57,"Male","Divorced",5115
"467",32,"Female","Single",3328
"468",33,"Male","Single",3529
"469",18,"Male","Single",1507
"470",85,"Female","Widowed",5322
"471",41,"Male","Single",4506
"472",93,"Female","Widowed",4529
"473",44,"Female","Married",5101
"474",40,"Female","Married",4110
"475",68,"Female","Single",5006
"476",25,"Male","Single",3720
"477",69,"Male","Married",5278
"478",62,"Female","Married",5298
"479",31,"Male","Single",3455
"480",42,"Female","Married",4038
"481",29,"Female","Married",3174
"482",70,"Female","Divorced",5402
"483",91,"Male","Widowed",5642
"484",43,"Female","Single",5036
"485",28,"Female","Single",3290
"486",52,"Female","Married",4602
"487",27,"Male","Single",3178
"488",19,"Female","Single",2625
"489",69,"Female","Divorced",4736
"490",49,"Female","Divorced",4384
"491",73,"Male","Married",3900
"492",28,"Male","Single",2880
"493",35,"Female","Single",4726
"494",38,"Male","Single",3701
"495",72,"Male","Married",5583
"496",53,"Female","Married",4341
"497",66,"Male","Married",4930
"498",63,"Female","Married",4844
"499",68,"Male","Married",5210
"500",65,"Male","Divorced",4778
"501",18,"Female","Single",2702
"502",22,"Male","Single",2543
"503",56,"Male","Married",4522
"504",69,"Female","Married",5189
"505",37,"Male","Single",3238
"506",27,"Male","Single",2578
"507",64,"Male","Married",4506
"508",71,"Female","Divorced",4481
"509",53,"Male","Single",4170
"510",43,"Male","Married",4250
"511",69,"Male","Married",4277
"512",62,"Male","Married",4963
"513",58,"Male","Married",4396
"514",47,"Male","Widowed",4443
"515",40,"Female","Single",3795
"516",43,"Female","Single",3713
"517",39,"Male","Married",3364
"518",56,"Male","Divorced",4153
"519",25,"Female","Married",3049
"520",41,"Female","Married",4499
"521",36,"Male","Single",3716
"522",66,"Male","Widowed",5655
"523",49,"Female","Married",3950
"524",47,"Female","Single",4167
"525",66,"Female","Divorced",4859
"526",70,"Male","Married",5204
"527",75,"Female","Married",5672
"528",38,"Female","Married",3560
"529",65,"Female","Married",5610
"530",64,"Female","Married",5374
"531",48,"Male","Single",4805
"532",45,"Female","Single",4764
"533",48,"Male","Married",4550
"534",39,"Male","Single",3760
"535",78,"Male","Married",5218
"536",42,"Male","Married",4291
"537",22,"Female","Single",2936
"538",35,"Male","Single",3383
"539",44,"Female","Married",3984
"540",37,"Male","Single",3634
"541",54,"Female","Married",4406
"542",49,"Female","Married",4297
"543",43,"Male","Single",4112
"544",61,"Female","Married",5121
"545",39,"Female","Married",4504
"546",45,"Male","Single",3784
"547",19,"Female","Single",2818
"548",86,"Female","Widowed",5287
"549",44,"Male","Married",3531
"550",24,"Male","Single",1635
"551",33,"Female","Single",3503
"552",82,"Male","Married",5369
"553",54,"Male","Married",4777
"554",63,"Male","Married",4719
"555",82,"Male","Widowed",5000
"556",61,"Female","Married",4479
"557",45,"Male","Married",3477
"558",63,"Female","Married",5334
"559",43,"Male","Single",4234
"560",59,"Female","Married",4461
"561",72,"Female","Married",5265
"562",37,"Male","Single",4581
"563",62,"Female","Widowed",4647
"564",78,"Male","Divorced",4504
"565",59,"Female","Single",4230
"566",23,"Female","Single",2162
"567",20,"Female","Single",2236
"568",19,"Male","Single",2698
"569",61,"Female","Married",5461
"570",23,"Female","Single",3034
"571",68,"Female","Widowed",4601
"572",69,"Male","Married",4944
"573",85,"Female","Married",4622
"574",24,"Male","Single",2265
"575",25,"Female","Single",3478
"576",74,"Female","Divorced",4685
"577",56,"Female","Divorced",3523
"578",61,"Male","Divorced",4789
"579",76,"Male","Married",5182
"580",18,"Male","Single",2311
"581",54,"Male","Married",4508
"582",25,"Female","Single",2727
"583",41,"Male","Single",4348
"584",59,"Female","Single",4784
"585",21,"Male","Single",2573
"586",64,"Male","Married",4880
"587",57,"Male","Single",5110
"588",54,"Female","Married",4489
"589",35,"Male","Married",3832
"590",50,"Male","Divorced",5020
"591",89,"Male","Married",5581
"592",60,"Male","Married",4978
"593",86,"Male","Widowed",5199
"594",41,"Female","Married",4731
"595",49,"Male","Single",3902
"596",71,"Female","Divorced",4022
"597",40,"Male","Married",3424
"598",42,"Male","Single",4340
"599",22,"Female","Single",1598
"600",23,"Female","Single",2027
"601",25,"Female","Single",2093
"602",67,"Male","Single",4738
"603",59,"Female","Married",4033
"604",56,"Female","Married",4846
"605",66,"Female","Married",5299
"606",55,"Female","Divorced",4683
"607",19,"Male","Single",2546
"608",20,"Male","Single",1987
"609",48,"Female","Married",4245
"610",22,"Female","Single",1892
"611",28,"Male","Single",3260
"612",77,"Female","Widowed",4721
"613",30,"Female","Single",3552
"614",26,"Female","Single",2513
"615",77,"Female","Married",5458
"616",50,"Male","Single",4622
"617",35,"Male","Single",4085
"618",64,"Female","Married",5328
"619",36,"Female","Married",3866
"620",24,"Female","Married",2434
"621",89,"Male","Widowed",5233
"622",74,"Female","Married",5387
"623",45,"Female","Single",4468
"624",49,"Male","Single",3294
"625",69,"Female","Married",4212
"626",39,"Female","Single",3107
"627",32,"Female","Single",3379
"628",43,"Female","Married",4380
"629",21,"Male","Single",2892
"630",57,"Female","Divorced",4376
"631",43,"Female","Single",3858
"632",28,"Female","Single",1579
"633",51,"Female","Married",4579
"634",36,"Female","Married",3824
"635",50,"Female","Single",4039
"636",44,"Male","Married",3990
"637",34,"Male","Single",3557
"638",40,"Male","Single",4092
"639",64,"Male","Married",4601
"640",82,"Female","Married",4898
"641",45,"Female","Married",3839
"642",56,"Male","Married",4333
"643",60,"Female","Divorced",5255
"644",81,"Male","Widowed",4746
"645",30,"Female","Single",2784
"646",64,"Female","Divorced",5027
"647",66,"Female","Married",4954
"648",64,"Female","Married",5445
"649",32,"Male","Married",3471
"650",51,"Female","Married",4018
"651",59,"Female","Divorced",4476
"652",21,"Female","Single",2533
"653",56,"Female","Divorced",3733
"654",40,"Male","Married",4619
"655",19,"Female","Single",2847
"656",68,"Female","Single",5255
"657",57,"Male","Married",4254
"658",50,"Male","Divorced",4584
"659",50,"Male","Married",4616
"660",81,"Male","Married",5301
"661",49,"Female","Divorced",4027
"662",36,"Male","Single",3486
"663",64,"Male","Married",4661
"664",69,"Male","Single",5306
"665",51,"Female","Married",4002
"666",26,"Female","Single",3433
"667",58,"Male","Married",4548
"668",52,"Male","Married",4363
"669",33,"Female","Single",3624
"670",31,"Male","Single",4186
"671",82,"Female","Widowed",5378
"672",26,"Female","Married",3494
"673",60,"Female","Married",5100
"674",80,"Male","Widowed",4157
"675",24,"Female","Single",2341
"676",19,"Female","Single",2317
"677",20,"Female","Single",2341
"678",23,"Male","Single",1925
"679",38,"Male","Single",4129
"680",31,"Female","Single",3441
"681",38,"Female","Married",3803
"682",83,"Male","Widowed",4631
"683",31,"Male","Married",3550
"684",20,"Male","Single",2421
"685",87,"Female","Married",5645
"686",22,"Female","Single",2193
"687",61,"Male","Married",4734
"688",59,"Female","Married",4536
"689",83,"Female","Married",5308
"690",27,"Male","Single",2980
"691",30,"Female","Single",3530
"692",58,"Female","Single",5015
"693",74,"Female","Married",4588
"694",68,"Female","Married",5018
"695",21,"Female","Single",2630
"696",89,"Male","Widowed",4851
"697",55,"Male","Divorced",4131
"698",57,"Male","Married",3840
"699",85,"Male","Widowed",5013
"700",68,"Female","Married",4744
"701",83,"Male","Widowed",5440
"702",76,"Female","Married",5358
"703",26,"Male","Single",2367
"704",31,"Male","Single",3532
"705",66,"Female","Married",5748
"706",58,"Male","Married",4435
"707",80,"Female","Married",5179
"708",33,"Male","Single",3253
"709",38,"Female","Married",4147
"710",63,"Female","Married",4819
"711",32,"Male","Single",2703
"712",27,"Male","Single",2654
"713",89,"Male","Widowed",5035
"714",80,"Female","Married",4279
"715",75,"Male","Widowed",5767
"716",52,"Female","Single",3194
"717",36,"Male","Single",3639
"718",86,"Male","Widowed",5010
"719",36,"Male","Single",3405
"720",32,"Female","Single",3717
"721",70,"Female","Married",5480
"722",78,"Male","Divorced",5413
"723",59,"Female","Married",4925
"724",56,"Female","Single",4246
"725",70,"Female","Married",4888
"726",38,"Male","Married",3006
"727",53,"Male","Married",4428
"728",70,"Female","Married",4369
"729",39,"Female","Married",3867
"730",55,"Female","Married",4697
"731",54,"Male","Single",4239
"732",66,"Female","Married",4249
"733",34,"Male","Single",3310
"734",59,"Male","Divorced",5115
"735",20,"Female","Single",3315
"736",90,"Male","Widowed",4910
"737",28,"Female","Single",2929
"738",65,"Female","Married",5484
"739",29,"Male","Single",3176
"740",51,"Male","Married",4165
"741",69,"Female","Divorced",4664
"742",49,"Female","Single",3998
"743",70,"Female","Married",4535
"744",41,"Male","Single",3558
"745",34,"Male","Single",2865
"746",54,"Female","Married",4474
"747",45,"Male","Single",4193
"748",46,"Male","Married",3341
"749",78,"Female","Married",4427
"750",23,"Male","Single",2421
"751",30,"Female","Single",3634
"752",51,"Male","Divorced",4159
"753",88,"Male","Widowed",5081
"754",24,"Female","Single",2622
"755",27,"Male","Single",2923
"756",33,"Female","Single",3487
"757",49,"Female","Married",3955
"758",20,"Female","Single",2024
"759",42,"Male","Married",4290
"760",63,"Female","Married",4858
"761",54,"Female","Married",5130
"762",65,"Female","Married",5173
"763",28,"Female","Single",2318
"764",44,"Female","Married",4076
"765",40,"Male","Married",4570
"766",50,"Female","Married",4339
"767",18,"Male","Single",2907
"768",32,"Male","Single",3853
"769",37,"Female","Married",3729
"770",54,"Female","Married",4402
"771",61,"Female","Single",4739
"772",51,"Male","Divorced",4306
"773",49,"Male","Single",4105
"774",29,"Female","Single",2955
"775",35,"Female","Single",3454
"776",85,"Male","Widowed",5540
"777",31,"Male","Married",2957
"778",45,"Female","Married",4102
"779",70,"Male","Married",4574
"780",40,"Male","Married",2955
"781",31,"Female","Single",3191
"782",67,"Male","Married",4810
"783",63,"Female","Married",5559
"784",31,"Male","Single",3978
"785",47,"Male","Single",4253
"786",26,"Male","Single",2947
"787",64,"Male","Divorced",5391
"788",27,"Female","Single",3052
"789",75,"Male","Divorced",4539
"790",54,"Male","Divorced",3937
"791",39,"Female","Married",3457
"792",26,"Female","Single",3031
"793",31,"Male","Single",3083
"794",78,"Female","Married",4712
"795",50,"Female","Single",4919
"796",20,"Male","Single",2080
"797",50,"Female","Married",3910
"798",40,"Female","Single",3624
"799",29,"Female","Single",2522
"800",87,"Female","Married",4326
"801",23,"Male","Single",3226
"802",63,"Female","Single",5530
"803",21,"Female","Single",2465
"804",71,"Male","Widowed",4970
"805",58,"Female","Married",5294
"806",19,"Female","Single",2570
"807",59,"Male","Married",4363
"808",21,"Male","Single",2737
"809",38,"Male","Married",3899
"810",41,"Male","Married",4315
"811",60,"Male","Married",5045
"812",23,"Male","Single",2863
"813",62,"Male","Widowed",4373
"814",45,"Male","Married",4295
"815",54,"Female","Married",3963
"816",30,"Female","Married",3690
"817",38,"Male","Single",3756
"818",41,"Male","Married",3588
"819",41,"Female","Married",3944
"820",65,"Female","Married",4656
"821",39,"Male","Single",3179
"822",59,"Male","Married",4644
"823",38,"Female","Single",3885
"824",51,"Female","Married",4492
"825",41,"Female","Married",4105
"826",82,"Male","Married",5650
"827",88,"Female","Widowed",5244
"828",41,"Male","Married",3812
"829",18,"Male","Single",2067
"830",79,"Female","Married",5025
"831",40,"Female","Married",3862
"832",76,"Female","Widowed",4535
"833",61,"Male","Married",5162
"834",75,"Male","Married",4832
"835",40,"Male","Single",4724
"836",36,"Female","Single",3633
"837",78,"Male","Married",4621
"838",23,"Female","Single",2929
"839",67,"Female","Married",5246
"840",39,"Female","Divorced",3642
"841",40,"Male","Married",5002
"842",74,"Female","Married",4944
"843",74,"Female","Married",5572
"844",58,"Female","Married",4688
"845",68,"Male","Married",5338
"846",69,"Male","Married",4644
"847",61,"Male","Married",5100
"848",70,"Female","Married",4955
"849",36,"Female","Married",3249
"850",23,"Male","Single",2135
"851",72,"Male","Married",4667
"852",21,"Female","Single",2341
"853",82,"Female","Married",4927
"854",37,"Male","Single",3965
"855",45,"Male","Divorced",3528
"856",40,"Male","Single",4088
"857",70,"Female","Married",5326
"858",53,"Female","Divorced",4662
"859",42,"Female","Divorced",4352
"860",55,"Male","Married",4975
"861",96,"Female","Widowed",4763
"862",49,"Female","Married",4431
"863",36,"Female","Married",4040
"864",50,"Female","Married",4141
"865",65,"Female","Married",5010
"866",19,"Male","Single",2745
"867",54,"Female","Married",3862
"868",58,"Female","Divorced",4806
"869",24,"Female","Single",2259
"870",66,"Male","Divorced",5694
"871",56,"Male","Married",5177
"872",64,"Male","Married",5047
"873",67,"Male","Married",4977
"874",57,"Male","Divorced",4469
"875",56,"Male","Single",4068
"876",52,"Female","Married",4892
"877",55,"Female","Single",4647
"878",29,"Male","Single",2349
"879",33,"Female","Single",3369
"880",59,"Female","Married",4457
"881",81,"Female","Married",4650
"882",20,"Female","Single",1840
"883",56,"Male","Married",4825
"884",56,"Female","Married",5033
"885",53,"Male","Married",4052
"886",72,"Male","Divorced",5488
"887",58,"Female","Widowed",4749
"888",40,"Female","Single",4214
"889",78,"Male","Married",4243
"890",31,"Female","Single",2637
"891",37,"Female","Single",4021
"892",58,"Female","Married",4915
"893",52,"Male","Married",4396
"894",54,"Male","Married",3853
"895",69,"Female","Married",5201
"896",50,"Male","Married",4374
"897",40,"Male","Divorced",4154
"898",43,"Female","Married",4037
"899",46,"Female","Single",3627
"900",61,"Female","Married",4689
"901",48,"Male","Married",3729
"902",20,"Male","Single",2135
"903",88,"Female","Married",4747
"904",58,"Male","Married",4936
"905",44,"Male","Married",3680
"906",49,"Male","Divorced",4116
"907",38,"Female","Married",4011
"908",52,"Male","Married",3858
"909",54,"Male","Single",5375
"910",21,"Male","Single",2897
"911",20,"Male","Single",2136
