"","age","gender","status"
"175",64,"Male","Married"
"176",30,"Male","Single"
"177",37,"Male","Single"
"178",32,"Female","Single"
"179",22,"Male","Single"
"180",42,"Male","Single"
"181",59,"Male","Married"
"182",47,"Male","Single"
"183",78,"Male","Married"
"184",68,"Female","Divorced"
"185",46,"Female","Single"
"186",47,"Female","Married"
"187",61,"Male","Widowed"
"188",32,"Male","Single"
"189",51,"Female","Married"
"190",66,"Male","Married"
"191",61,"Male","Married"
"192",36,"Male","Single"
"193",25,"Female","Single"
"194",69,"Male","Divorced"
"195",79,"Female","Divorced"
"196",59,"Female","Married"
"197",59,"Male","Married"
"198",23,"Male","Single"
"199",80,"Female","Married"
"200",69,"Female","Married"
"201",39,"Female","Married"
"202",72,"Female","Single"
"203",27,"Male","Single"
"204",26,"Female","Single"
"205",51,"Female","Single"
"206",59,"Male","Single"
"207",60,"Female","Married"
"208",88,"Male","Widowed"
"209",51,"Female","Divorced"
"210",34,"Male","Single"
"211",78,"Female","Single"
"212",36,"Female","Single"
"213",52,"Male","Married"
"214",69,"Male","Married"
"215",24,"Female","Single"
"216",44,"Male","Single"
"217",28,"Female","Single"
"218",52,"Female","Single"
"219",18,"Female","Single"
"220",49,"Female","Married"
"221",44,"Female","Divorced"
"222",50,"Female","Married"
"223",80,"Male","Widowed"
"224",32,"Female","Single"
"225",85,"Female","Married"
"226",73,"Male","Married"
"227",19,"Female","Single"
"228",53,"Female","Single"
"229",24,"Male","Single"
"230",50,"Male","Single"
"231",25,"Female","Single"
"232",27,"Male","Married"
"233",58,"Female","Divorced"
"234",59,"Female","Divorced"
"235",19,"Female","Single"
"236",52,"Female","Single"
"237",20,"Female","Single"
"238",52,"Female","Divorced"
"239",39,"Male","Married"
"240",49,"Male","Married"
"241",52,"Male","Married"
"242",23,"Female","Single"
"243",70,"Female","Divorced"
"244",69,"Female","Married"
"245",48,"Female","Divorced"
"246",19,"Female","Single"
"247",65,"Male","Married"
"248",25,"Female","Single"
"249",39,"Female","Single"
"250",62,"Male","Married"
"251",63,"Female","Married"
"252",33,"Female","Single"
"253",61,"Female","Divorced"
"254",52,"Male","Married"
"255",41,"Female","Married"
"256",25,"Male","Single"
"257",32,"Female","Single"
"258",38,"Male","Single"
"259",25,"Male","Single"
"260",46,"Female","Divorced"
"261",69,"Female","Divorced"
"262",52,"Male","Married"
"263",57,"Male","Married"
"264",53,"Female","Divorced"
"265",59,"Female","Single"
"266",48,"Female","Married"
"267",85,"Female","Married"
"268",49,"Male","Divorced"
"269",77,"Female","Widowed"
"270",68,"Female","Married"
"271",78,"Male","Divorced"
"272",26,"Male","Single"
"273",66,"Female","Divorced"
"274",22,"Male","Single"
"275",27,"Female","Single"
"276",65,"Male","Married"
"277",38,"Male","Single"
"278",63,"Male","Married"
"279",43,"Male","Single"
"280",18,"Male","Single"
"281",44,"Male","Single"
"282",57,"Male","Married"
"283",65,"Female","Married"
"284",54,"Female","Married"
"285",41,"Female","Single"
"286",58,"Male","Divorced"
"287",55,"Female","Single"
"288",90,"Female","Widowed"
"289",72,"Male","Married"
"290",31,"Female","Single"
"291",42,"Female","Married"
"292",54,"Female","Married"
"293",49,"Male","Married"
"294",73,"Female","Divorced"
"295",74,"Female","Married"
"296",88,"Female","Widowed"
"297",72,"Female","Married"
"298",29,"Female","Single"
"299",19,"Male","Single"
"300",59,"Female","Married"
"301",80,"Male","Widowed"
"302",33,"Male","Single"
"303",78,"Male","Married"
"304",60,"Male","Divorced"
"305",51,"Male","Married"
"306",53,"Male","Single"
"307",31,"Female","Single"
"308",48,"Female","Divorced"
"309",58,"Female","Single"
"310",38,"Male","Single"
"311",75,"Male","Widowed"
"312",54,"Male","Married"
"313",45,"Male","Married"
"314",40,"Male","Single"
"315",35,"Male","Single"
"316",25,"Female","Married"
"317",25,"Female","Single"
"318",60,"Female","Married"
"319",34,"Male","Single"
"320",54,"Female","Single"
"321",68,"Female","Married"
"322",64,"Female","Divorced"
"323",55,"Male","Single"
"324",47,"Male","Married"
"325",24,"Male","Single"
"326",42,"Male","Single"
"327",60,"Female","Married"
"328",65,"Female","Married"
"329",55,"Female","Single"
"330",18,"Female","Single"
"331",29,"Female","Married"
"332",31,"Female","Single"
"333",34,"Male","Single"
"334",89,"Male","Married"
"335",21,"Female","Single"
"336",51,"Male","Married"
"337",41,"Female","Single"
"338",82,"Female","Widowed"
"339",57,"Male","Single"
"340",19,"Male","Single"
"341",57,"Male","Married"
"342",36,"Female","Divorced"
"343",32,"Female","Married"
"344",23,"Male","Single"
"345",30,"Female","Single"
"346",44,"Male","Divorced"
"347",78,"Male","Married"
"348",59,"Male","Married"
"349",69,"Female","Married"
"350",27,"Female","Single"
"351",24,"Female","Single"
"352",51,"Male","Divorced"
"353",62,"Male","Married"
"354",18,"Female","Single"
"355",71,"Female","Married"
"356",46,"Female","Married"
"357",65,"Male","Married"
"358",49,"Male","Single"
"359",48,"Male","Single"
"360",48,"Male","Single"
"361",41,"Male","Single"
"362",35,"Female","Married"
"363",75,"Male","Married"
"364",62,"Female","Married"
"365",24,"Female","Single"
"366",52,"Female","Married"
"367",29,"Female","Married"
"368",59,"Male","Divorced"
"369",35,"Female","Married"
"370",33,"Male","Divorced"
"371",59,"Male","Married"
"372",53,"Female","Married"
"373",64,"Male","Single"
"374",66,"Male","Married"
"375",81,"Female","Divorced"
"376",30,"Male","Married"
"377",82,"Female","Married"
"378",52,"Female","Married"
"379",58,"Female","Married"
"380",77,"Male","Married"
"381",42,"Male","Single"
"382",21,"Female","Single"
"383",66,"Male","Single"
"384",41,"Male","Single"
"385",83,"Female","Widowed"
"386",46,"Female","Single"
"387",59,"Female","Married"
"388",57,"Female","Married"
"389",25,"Male","Single"
"390",41,"Female","Single"
"391",80,"Female","Widowed"
"392",28,"Male","Married"
"393",22,"Female","Single"
"394",80,"Male","Married"
"395",68,"Female","Divorced"
"396",45,"Male","Married"
"397",66,"Male","Divorced"
"398",64,"Male","Widowed"
"399",60,"Male","Married"
"400",25,"Male","Single"
"401",34,"Male","Single"
"402",76,"Male","Married"
"403",43,"Male","Married"
"404",30,"Female","Single"
"405",50,"Male","Married"
"406",31,"Female","Married"
"407",30,"Female","Single"
"408",60,"Male","Single"
"409",54,"Male","Married"
"410",41,"Male","Married"
"411",36,"Male","Single"
"412",45,"Female","Divorced"
"413",18,"Female","Single"
"414",55,"Female","Married"
"415",21,"Male","Single"
"416",64,"Female","Married"
"417",26,"Female","Single"
"418",59,"Female","Divorced"
"419",45,"Male","Divorced"
"420",44,"Male","Single"
"421",90,"Female","Widowed"
"422",38,"Male","Single"
"423",53,"Male","Married"
"424",61,"Male","Married"
"425",18,"Male","Single"
"426",38,"Male","Married"
"427",57,"Female","Married"
"428",69,"Male","Married"
"429",40,"Male","Single"
"430",53,"Male","Divorced"
"431",19,"Female","Single"
"432",33,"Male","Single"
"433",24,"Female","Single"
"434",82,"Female","Married"
"435",33,"Female","Single"
"436",72,"Female","Married"
"437",22,"Female","Single"
"438",49,"Female","Divorced"
"439",37,"Female","Single"
"440",28,"Female","Single"
"441",46,"Female","Married"
"442",77,"Male","Married"
"443",57,"Male","Married"
"444",57,"Female","Single"
"445",59,"Female","Married"
"446",63,"Female","Divorced"
"447",42,"Male","Married"
"448",18,"Male","Single"
"449",59,"Male","Married"
"450",61,"Female","Married"
"451",78,"Female","Widowed"
"452",81,"Female","Widowed"
"453",20,"Male","Single"
"454",54,"Male","Married"
"455",23,"Male","Single"
"456",46,"Female","Married"
"457",84,"Male","Married"
"458",63,"Male","Married"
"459",60,"Male","Widowed"
"460",87,"Female","Married"
"461",53,"Male","Married"
"462",87,"Male","Widowed"
"463",62,"Female","Married"
"464",86,"Female","Married"
"465",60,"Female","Divorced"
"466",57,"Male","Divorced"
"467",32,"Female","Single"
"468",33,"Male","Single"
"469",18,"Male","Single"
"470",85,"Female","Widowed"
"471",41,"Male","Single"
"472",93,"Female","Widowed"
"473",44,"Female","Married"
"474",40,"Female","Married"
"475",68,"Female","Single"
"476",25,"Male","Single"
"477",69,"Male","Married"
"478",62,"Female","Married"
"479",31,"Male","Single"
"480",42,"Female","Married"
"481",29,"Female","Married"
"482",70,"Female","Divorced"
"483",91,"Male","Widowed"
"484",43,"Female","Single"
"485",28,"Female","Single"
"486",52,"Female","Married"
"487",27,"Male","Single"
"488",19,"Female","Single"
"489",69,"Female","Divorced"
"490",49,"Female","Divorced"
"491",73,"Male","Married"
"492",28,"Male","Single"
"493",35,"Female","Single"
"494",38,"Male","Single"
"495",72,"Male","Married"
"496",53,"Female","Married"
"497",66,"Male","Married"
"498",63,"Female","Married"
"499",68,"Male","Married"
"500",65,"Male","Divorced"
"501",18,"Female","Single"
"502",22,"Male","Single"
"503",56,"Male","Married"
"504",69,"Female","Married"
"505",37,"Male","Single"
"506",27,"Male","Single"
"507",64,"Male","Married"
"508",71,"Female","Divorced"
"509",53,"Male","Single"
"510",43,"Male","Married"
"511",69,"Male","Married"
"512",62,"Male","Married"
"513",58,"Male","Married"
"514",47,"Male","Widowed"
"515",40,"Female","Single"
"516",43,"Female","Single"
"517",39,"Male","Married"
"518",56,"Male","Divorced"
"519",25,"Female","Married"
"520",41,"Female","Married"
"521",36,"Male","Single"
"522",66,"Male","Widowed"
"523",49,"Female","Married"
"524",47,"Female","Single"
"525",66,"Female","Divorced"
"526",70,"Male","Married"
"527",75,"Female","Married"
"528",38,"Female","Married"
"529",65,"Female","Married"
"530",64,"Female","Married"
"531",48,"Male","Single"
"532",45,"Female","Single"
"533",48,"Male","Married"
"534",39,"Male","Single"
"535",78,"Male","Married"
"536",42,"Male","Married"
"537",22,"Female","Single"
"538",35,"Male","Single"
"539",44,"Female","Married"
"540",37,"Male","Single"
"541",54,"Female","Married"
"542",49,"Female","Married"
"543",43,"Male","Single"
"544",61,"Female","Married"
"545",39,"Female","Married"
"546",45,"Male","Single"
"547",19,"Female","Single"
"548",86,"Female","Widowed"
"549",44,"Male","Married"
"550",24,"Male","Single"
"551",33,"Female","Single"
"552",82,"Male","Married"
"553",54,"Male","Married"
"554",63,"Male","Married"
"555",82,"Male","Widowed"
"556",61,"Female","Married"
"557",45,"Male","Married"
"558",63,"Female","Married"
"559",43,"Male","Single"
"560",59,"Female","Married"
"561",72,"Female","Married"
"562",37,"Male","Single"
"563",62,"Female","Widowed"
"564",78,"Male","Divorced"
"565",59,"Female","Single"
"566",23,"Female","Single"
"567",20,"Female","Single"
"568",19,"Male","Single"
"569",61,"Female","Married"
"570",23,"Female","Single"
"571",68,"Female","Widowed"
"572",69,"Male","Married"
"573",85,"Female","Married"
"574",24,"Male","Single"
"575",25,"Female","Single"
"576",74,"Female","Divorced"
"577",56,"Female","Divorced"
"578",61,"Male","Divorced"
"579",76,"Male","Married"
"580",18,"Male","Single"
"581",54,"Male","Married"
"582",25,"Female","Single"
"583",41,"Male","Single"
"584",59,"Female","Single"
"585",21,"Male","Single"
"586",64,"Male","Married"
"587",57,"Male","Single"
"588",54,"Female","Married"
"589",35,"Male","Married"
"590",50,"Male","Divorced"
"591",89,"Male","Married"
"592",60,"Male","Married"
"593",86,"Male","Widowed"
"594",41,"Female","Married"
"595",49,"Male","Single"
"596",71,"Female","Divorced"
"597",40,"Male","Married"
"598",42,"Male","Single"
"599",22,"Female","Single"
"600",23,"Female","Single"
"601",25,"Female","Single"
"602",67,"Male","Single"
"603",59,"Female","Married"
"604",56,"Female","Married"
"605",66,"Female","Married"
"606",55,"Female","Divorced"
"607",19,"Male","Single"
"608",20,"Male","Single"
"609",48,"Female","Married"
"610",22,"Female","Single"
"611",28,"Male","Single"
"612",77,"Female","Widowed"
"613",30,"Female","Single"
"614",26,"Female","Single"
"615",77,"Female","Married"
"616",50,"Male","Single"
"617",35,"Male","Single"
"618",64,"Female","Married"
"619",36,"Female","Married"
"620",24,"Female","Married"
"621",89,"Male","Widowed"
"622",74,"Female","Married"
"623",45,"Female","Single"
"624",49,"Male","Single"
"625",69,"Female","Married"
"626",39,"Female","Single"
"627",32,"Female","Single"
"628",43,"Female","Married"
"629",21,"Male","Single"
"630",57,"Female","Divorced"
"631",43,"Female","Single"
"632",28,"Female","Single"
"633",51,"Female","Married"
"634",36,"Female","Married"
"635",50,"Female","Single"
"636",44,"Male","Married"
"637",34,"Male","Single"
"638",40,"Male","Single"
"639",64,"Male","Married"
"640",82,"Female","Married"
"641",45,"Female","Married"
"642",56,"Male","Married"
"643",60,"Female","Divorced"
"644",81,"Male","Widowed"
"645",30,"Female","Single"
"646",64,"Female","Divorced"
"647",66,"Female","Married"
"648",64,"Female","Married"
"649",32,"Male","Married"
"650",51,"Female","Married"
"651",59,"Female","Divorced"
"652",21,"Female","Single"
"653",56,"Female","Divorced"
"654",40,"Male","Married"
"655",19,"Female","Single"
"656",68,"Female","Single"
"657",57,"Male","Married"
"658",50,"Male","Divorced"
"659",50,"Male","Married"
"660",81,"Male","Married"
"661",49,"Female","Divorced"
"662",36,"Male","Single"
"663",64,"Male","Married"
"664",69,"Male","Single"
"665",51,"Female","Married"
"666",26,"Female","Single"
"667",58,"Male","Married"
"668",52,"Male","Married"
"669",33,"Female","Single"
"670",31,"Male","Single"
"671",82,"Female","Widowed"
"672",26,"Female","Married"
"673",60,"Female","Married"
"674",80,"Male","Widowed"
"675",24,"Female","Single"
"676",19,"Female","Single"
"677",20,"Female","Single"
"678",23,"Male","Single"
"679",38,"Male","Single"
"680",31,"Female","Single"
"681",38,"Female","Married"
"682",83,"Male","Widowed"
"683",31,"Male","Married"
"684",20,"Male","Single"
"685",87,"Female","Married"
"686",22,"Female","Single"
"687",61,"Male","Married"
"688",59,"Female","Married"
"689",83,"Female","Married"
"690",27,"Male","Single"
"691",30,"Female","Single"
"692",58,"Female","Single"
"693",74,"Female","Married"
"694",68,"Female","Married"
"695",21,"Female","Single"
"696",89,"Male","Widowed"
"697",55,"Male","Divorced"
"698",57,"Male","Married"
"699",85,"Male","Widowed"
"700",68,"Female","Married"
"701",83,"Male","Widowed"
"702",76,"Female","Married"
"703",26,"Male","Single"
"704",31,"Male","Single"
"705",66,"Female","Married"
"706",58,"Male","Married"
"707",80,"Female","Married"
"708",33,"Male","Single"
"709",38,"Female","Married"
"710",63,"Female","Married"
"711",32,"Male","Single"
"712",27,"Male","Single"
"713",89,"Male","Widowed"
"714",80,"Female","Married"
"715",75,"Male","Widowed"
"716",52,"Female","Single"
"717",36,"Male","Single"
"718",86,"Male","Widowed"
"719",36,"Male","Single"
"720",32,"Female","Single"
"721",70,"Female","Married"
"722",78,"Male","Divorced"
"723",59,"Female","Married"
"724",56,"Female","Single"
"725",70,"Female","Married"
"726",38,"Male","Married"
"727",53,"Male","Married"
"728",70,"Female","Married"
"729",39,"Female","Married"
"730",55,"Female","Married"
"731",54,"Male","Single"
"732",66,"Female","Married"
"733",34,"Male","Single"
"734",59,"Male","Divorced"
"735",20,"Female","Single"
"736",90,"Male","Widowed"
"737",28,"Female","Single"
"738",65,"Female","Married"
"739",29,"Male","Single"
"740",51,"Male","Married"
"741",69,"Female","Divorced"
"742",49,"Female","Single"
"743",70,"Female","Married"
"744",41,"Male","Single"
"745",34,"Male","Single"
"746",54,"Female","Married"
"747",45,"Male","Single"
"748",46,"Male","Married"
"749",78,"Female","Married"
"750",23,"Male","Single"
"751",30,"Female","Single"
"752",51,"Male","Divorced"
"753",88,"Male","Widowed"
"754",24,"Female","Single"
"755",27,"Male","Single"
"756",33,"Female","Single"
"757",49,"Female","Married"
"758",20,"Female","Single"
"759",42,"Male","Married"
"760",63,"Female","Married"
"761",54,"Female","Married"
"762",65,"Female","Married"
"763",28,"Female","Single"
"764",44,"Female","Married"
"765",40,"Male","Married"
"766",50,"Female","Married"
"767",18,"Male","Single"
"768",32,"Male","Single"
"769",37,"Female","Married"
"770",54,"Female","Married"
"771",61,"Female","Single"
"772",51,"Male","Divorced"
"773",49,"Male","Single"
"774",29,"Female","Single"
"775",35,"Female","Single"
"776",85,"Male","Widowed"
"777",31,"Male","Married"
"778",45,"Female","Married"
"779",70,"Male","Married"
"780",40,"Male","Married"
"781",31,"Female","Single"
"782",67,"Male","Married"
"783",63,"Female","Married"
"784",31,"Male","Single"
"785",47,"Male","Single"
"786",26,"Male","Single"
"787",64,"Male","Divorced"
"788",27,"Female","Single"
"789",75,"Male","Divorced"
"790",54,"Male","Divorced"
"791",39,"Female","Married"
"792",26,"Female","Single"
"793",31,"Male","Single"
"794",78,"Female","Married"
"795",50,"Female","Single"
"796",20,"Male","Single"
"797",50,"Female","Married"
"798",40,"Female","Single"
"799",29,"Female","Single"
"800",87,"Female","Married"
"801",23,"Male","Single"
"802",63,"Female","Single"
"803",21,"Female","Single"
"804",71,"Male","Widowed"
"805",58,"Female","Married"
"806",19,"Female","Single"
"807",59,"Male","Married"
"808",21,"Male","Single"
"809",38,"Male","Married"
"810",41,"Male","Married"
"811",60,"Male","Married"
"812",23,"Male","Single"
"813",62,"Male","Widowed"
"814",45,"Male","Married"
"815",54,"Female","Married"
"816",30,"Female","Married"
"817",38,"Male","Single"
"818",41,"Male","Married"
"819",41,"Female","Married"
"820",65,"Female","Married"
"821",39,"Male","Single"
"822",59,"Male","Married"
"823",38,"Female","Single"
"824",51,"Female","Married"
"825",41,"Female","Married"
"826",82,"Male","Married"
"827",88,"Female","Widowed"
"828",41,"Male","Married"
"829",18,"Male","Single"
"830",79,"Female","Married"
"831",40,"Female","Married"
"832",76,"Female","Widowed"
"833",61,"Male","Married"
"834",75,"Male","Married"
"835",40,"Male","Single"
"836",36,"Female","Single"
"837",78,"Male","Married"
"838",23,"Female","Single"
"839",67,"Female","Married"
"840",39,"Female","Divorced"
"841",40,"Male","Married"
"842",74,"Female","Married"
"843",74,"Female","Married"
"844",58,"Female","Married"
"845",68,"Male","Married"
"846",69,"Male","Married"
"847",61,"Male","Married"
"848",70,"Female","Married"
"849",36,"Female","Married"
"850",23,"Male","Single"
"851",72,"Male","Married"
"852",21,"Female","Single"
"853",82,"Female","Married"
"854",37,"Male","Single"
"855",45,"Male","Divorced"
"856",40,"Male","Single"
"857",70,"Female","Married"
"858",53,"Female","Divorced"
"859",42,"Female","Divorced"
"860",55,"Male","Married"
"861",96,"Female","Widowed"
"862",49,"Female","Married"
"863",36,"Female","Married"
"864",50,"Female","Married"
"865",65,"Female","Married"
"866",19,"Male","Single"
"867",54,"Female","Married"
"868",58,"Female","Divorced"
"869",24,"Female","Single"
"870",66,"Male","Divorced"
"871",56,"Male","Married"
"872",64,"Male","Married"
"873",67,"Male","Married"
"874",57,"Male","Divorced"
"875",56,"Male","Single"
"876",52,"Female","Married"
"877",55,"Female","Single"
"878",29,"Male","Single"
"879",33,"Female","Single"
"880",59,"Female","Married"
"881",81,"Female","Married"
"882",20,"Female","Single"
"883",56,"Male","Married"
"884",56,"Female","Married"
"885",53,"Male","Married"
"886",72,"Male","Divorced"
"887",58,"Female","Widowed"
"888",40,"Female","Single"
"889",78,"Male","Married"
"890",31,"Female","Single"
"891",37,"Female","Single"
"892",58,"Female","Married"
"893",52,"Male","Married"
"894",54,"Male","Married"
"895",69,"Female","Married"
"896",50,"Male","Married"
"897",40,"Male","Divorced"
"898",43,"Female","Married"
"899",46,"Female","Single"
"900",61,"Female","Married"
"901",48,"Male","Married"
"902",20,"Male","Single"
"903",88,"Female","Married"
"904",58,"Male","Married"
"905",44,"Male","Married"
"906",49,"Male","Divorced"
"907",38,"Female","Married"
"908",52,"Male","Married"
"909",54,"Male","Single"
"910",21,"Male","Single"
"911",20,"Male","Single"
"912",54,"Female","Married"
"913",80,"Female","Widowed"
"914",73,"Female","Married"
"915",55,"Male","Widowed"
"916",31,"Female","Single"
"917",45,"Female","Single"
"918",85,"Female","Widowed"
"919",76,"Male","Married"
"920",75,"Male","Divorced"
"921",29,"Female","Single"
"922",47,"Female","Single"
"923",29,"Female","Single"
"924",24,"Female","Single"
"925",61,"Male","Divorced"
"926",34,"Male","Single"
"927",41,"Female","Married"
"928",42,"Female","Married"
"929",44,"Female","Single"
"930",67,"Male","Married"
"931",36,"Female","Single"
"932",23,"Female","Single"
"933",57,"Female","Married"
"934",47,"Male","Single"
"935",67,"Male","Widowed"
"936",24,"Female","Single"
"937",30,"Male","Single"
"938",65,"Female","Divorced"
"939",31,"Male","Single"
"940",78,"Female","Married"
"941",74,"Male","Divorced"
"942",27,"Female","Single"
"943",35,"Female","Single"
"944",69,"Male","Divorced"
"945",73,"Male","Divorced"
"946",60,"Female","Married"
"947",71,"Female","Widowed"
"948",67,"Male","Divorced"
"949",38,"Female","Married"
"950",20,"Male","Single"
"951",60,"Male","Married"
"952",73,"Male","Married"
"953",84,"Male","Married"
"954",61,"Female","Married"
"955",28,"Male","Married"
"956",74,"Female","Married"
"957",86,"Male","Widowed"
"958",18,"Male","Single"
"959",57,"Male","Married"
"960",44,"Male","Married"
"961",67,"Male","Married"
"962",80,"Female","Divorced"
"963",61,"Male","Married"
"964",69,"Female","Married"
"965",30,"Male","Single"
"966",91,"Female","Widowed"
"967",27,"Female","Married"
"968",32,"Female","Married"
"969",52,"Male","Married"
"970",63,"Male","Single"
"971",51,"Male","Single"
"972",59,"Female","Married"
"973",57,"Male","Divorced"
"974",19,"Female","Single"
"975",43,"Female","Single"
"976",54,"Male","Married"
"977",44,"Female","Married"
"978",43,"Female","Married"
"979",50,"Male","Married"
"980",21,"Female","Single"
"981",74,"Male","Married"
"982",29,"Female","Single"
"983",21,"Female","Married"
"984",39,"Male","Married"
"985",58,"Female","Married"
"986",25,"Female","Single"
"987",58,"Female","Single"
"988",20,"Male","Single"
"989",21,"Male","Single"
"990",30,"Male","Single"
"991",24,"Male","Single"
"992",18,"Male","Single"
"993",56,"Female","Married"
"994",71,"Female","Divorced"
"995",49,"Female","Divorced"
"996",28,"Male","Single"
"997",66,"Female","Married"
"998",33,"Male","Married"
"999",37,"Male","Single"
"1000",45,"Female","Single"
"1001",59,"Male","Divorced"
"1002",41,"Female","Married"
"1003",51,"Female","Divorced"
"1004",41,"Male","Divorced"
"1005",27,"Male","Single"
"1006",78,"Female","Married"
"1007",72,"Male","Married"
"1008",21,"Male","Single"
"1009",27,"Male","Single"
"1010",38,"Male","Married"
"1011",43,"Female","Single"
"1012",68,"Female","Widowed"
"1013",28,"Male","Married"
"1014",42,"Male","Single"
"1015",66,"Female","Married"
"1016",44,"Male","Married"
"1017",40,"Female","Married"
"1018",29,"Female","Single"
"1019",91,"Female","Widowed"
"1020",76,"Female","Single"
"1021",88,"Female","Widowed"
"1022",23,"Female","Single"
"1023",18,"Female","Single"
"1024",20,"Male","Single"
"1025",26,"Female","Single"
"1026",62,"Male","Married"
"1027",40,"Female","Divorced"
"1028",19,"Male","Single"
"1029",45,"Female","Single"
"1030",34,"Female","Married"
"1031",62,"Male","Married"
"1032",64,"Female","Widowed"
"1033",79,"Female","Widowed"
"1034",27,"Male","Single"
"1035",60,"Female","Single"
"1036",58,"Male","Divorced"
"1037",71,"Male","Married"
"1038",48,"Male","Single"
"1039",58,"Male","Divorced"
"1040",47,"Female","Married"
"1041",79,"Male","Married"
"1042",70,"Female","Divorced"
"1043",31,"Male","Married"
"1044",74,"Female","Married"
